time(s),volume(cm3)
0,1
0.0025866765,0.98443463
0.0054393324,1.1253003
0.0072165038,1.1436612
0.0074192685,1.0306045
0.01105823,1.0226823
0.024493874,1.0780128
0.024628678,1.2064443
0.025495062,0.94264256
0.025663075,1.1818997
0.025823363,1.0140774
0.026559165,0.97615628
0.027108757,1.0224201
0.027239372,1.1902106
0.027577853,0.95793497
0.028709004,1.1294041
0.028828864,0.97418903
0.029511683,0.99596994
0.02961391,1.1018193
0.030734307,1.016828
0.031089237,0.95910007
0.031196524,1.0881586
0.031504288,1.1317585
0.031811063,0.98263723
0.032201692,1.0526511
0.032337444,0.98418849
0.032530968,0.98263656
0.032834632,1.172586
0.034299521,1.0412526
0.043003365,1.0474224
0.043063035,1.0027985
0.045119283,0.97959687
0.045202442,1.0885029
0.045693291,1.1388315
0.045789029,0.99041761
0.046092056,0.9558067
0.046928204,1.1571181
0.04721796,1.078309
0.047632133,1.2154049
0.048226074,1.1024817
0.048856921,1.1595634
0.049005521,1.0071227
0.049355284,1.0200847
0.050605317,0.98734797
0.05232755,1.1030684
0.05438065,1.0003167
0.057278772,1.0049486
0.057362591,1.0996208
0.059916801,1.1333245
0.060034992,1.0192812
0.060711998,1.1608424
0.061233298,0.97511397
0.06219065,1.1802806
0.062607132,1.0118891
0.063991883,0.97959039
0.064086314,1.1460791
0.06422115,1.1027011
0.065350074,0.94967283
0.066071234,1.0244101
0.066127481,1.1153061
0.071624004,1.0303635
0.071710572,1.1706076
0.07182564,1.2337661
0.071968638,1.0843971
0.074555284,0.99521443
0.075199413,0.98181731
0.075513277,1.2003414
0.075920274,1.0945801
0.076110829,0.97448121
0.079978682,1.0006055
0.080085505,1.1495191
0.080780291,1.1262175
0.080866462,1.0135683
0.081600571,1.0029209
0.081699636,0.94326225
0.08182228,1.1357565
0.081952905,1.1169497
0.08208455,0.98421018
0.084160564,1.1097613
0.084203673,1.1366367
0.084306182,0.99079602
0.084858084,0.96454634
0.087383147,0.90317696
0.087494369,1.0045639
0.088126644,0.94060979
0.088204212,0.87273125
0.090385267,0.81585402
0.090784121,0.69729437
0.090963073,0.76060313
0.095029445,0.48661806
0.09636479,0.38035545
0.09782941,0.29099764
0.098675831,0.2316372
0.099270674,0.19259955
0.10066887,0.12796577
0.10122701,0.12040539
0.11237192,0.12867962
0.13764282,0.13491554
0.20014104,0.14390184
0.3067484,0.15363821
0.49995,0.16587024
