#Data_structure:,,,,,,,,,
Sr,a,b,c,Ox,bg1,P,T,Tig,sigma
RP3_PHI_1_P_10_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,996,1119,1213,121.28
RP3_PHI_1_P_10_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1068,1212,620,61.99
RP3_PHI_1_P_10_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1101,1335,256,25.64
RP3_PHI_1_P_10_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1073,1437,117,11.67
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,2246,901,11322,1132.19
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1906,939,7279,727.95
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,2174,1031,3367,336.67
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,2026,979,5154,515.42
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,2211,1130,1300,129.98
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1999,1065,2259,225.88
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1964,1273,480,47.96
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1991,1192,697,69.74
RP3_PHI_1_5_P_15_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1663,1039,2968,296.8
RP3_PHI_1_5_P_15_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1567,1104,1747,174.71
RP3_PHI_1_5_P_15_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1541,1174,928,92.77
RP3_PHI_1_5_P_15_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1628,1280,336,33.58
RP3_PHI_1_5_P_15_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1589,1372,193,19.29
RP3_PHI_1_5_P_10_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1075,1058,4513,451.28
RP3_PHI_1_5_P_10_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1014,1122,1964,196.42
RP3_PHI_1_5_P_10_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,1007,1198,1080,108
RP3_PHI_1_5_P_10_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,954,1257,537,53.66
RP3_PHI_1_5_P_10_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,862,1252,799,79.92
RP3_PHI_1_5_P_10_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,987,1330,407,40.74
