"time(s), volume(cm3)",
0,9.801510763
0.0004,9.804172029
0.0008,9.805735787
0.0012,9.80463687
0.0016,9.801468534
0.002,9.798429195
0.0024,9.797838468
0.0028,9.800117443
0.0032,9.803622741
0.0036,9.806116248
0.004,9.806708147
0.0044,9.806073974
0.0048,9.805397628
0.0052,9.805059496
0.0056,9.804383314
0.006,9.802608858
0.0064,9.800159658
0.0068,9.798513589
0.0072,9.799062207
0.0076,9.802144244
0.008,9.806454467
0.0084,9.810049721
0.0088,9.81144636
0.0092,9.810388257
0.0096,9.807976785
0.01,9.805989425
0.0104,9.805820331
0.0108,9.807596154
0.0112,9.810176668
0.0116,9.81220836
0.012,9.812885809
0.0124,9.812420051
0.0128,9.81119239
0.0132,9.809415039
0.0136,9.807088699
0.014,9.804679129
0.0144,9.803369246
0.0148,9.804341056
0.0152,9.807426995
0.0156,9.810980762
0.016,9.813097536
0.0164,9.812970499
0.0168,9.811361701
0.0172,9.809838149
0.0176,9.8092035
0.018,9.809288114
0.0184,9.809330422
0.0188,9.809161193
0.0192,9.8092035
0.0196,9.810007406
0.02,9.81140403
0.0204,9.812801122
0.0208,9.813182229
0.0212,9.811827342
0.0216,9.808611247
0.022,9.803960756
0.0224,9.798893395
0.0228,9.794506653
0.0232,9.79147238
0.0236,9.789619189
0.024,9.78827193
0.0244,9.786756785
0.0248,9.785073936
0.0252,9.783139498
0.0256,9.780407585
0.026,9.775494655
0.0264,9.767151772
0.0268,9.755399547
0.0272,9.742014969
0.0276,9.729254413
0.028,9.718105553
0.0284,9.707523301
0.0288,9.695156602
0.0292,9.679791143
0.0296,9.662277128
0.03,9.64504064
0.0304,9.629739279
0.0308,9.615705798
0.0312,9.600312239
0.0316,9.581291539
0.032,9.558814019
0.0324,9.535113824
0.0328,9.512574429
0.0332,9.491451731
0.0336,9.470166089
0.034,9.447132591
0.0344,9.422497477
0.0348,9.397591728
0.0352,9.373448266
0.0356,9.349298633
0.036,9.323341311
0.0364,9.294382474
0.0368,9.262785189
0.0372,9.229641331
0.0376,9.195501619
0.038,9.160431395
0.0384,9.124637709
0.0388,9.089170159
0.0392,9.055216332
0.0396,9.022809968
0.04,8.990467215
0.0404,8.956275446
0.0408,8.919407038
0.0412,8.880345368
0.0416,8.840123993
0.042,8.798982343
0.0424,8.756535412
0.0428,8.712353928
0.0432,8.666728558
0.0436,8.62043985
0.044,8.573923428
0.0444,8.526802151
0.0448,8.478448693
0.0452,8.428596889
0.0456,8.377671458
0.046,8.326278589
0.0464,8.274680073
0.0468,8.222591854
0.0472,8.169555076
0.0476,8.115465553
0.048,8.060629631
0.0484,8.005311382
0.0488,7.949372307
0.0492,7.8922274
0.0496,7.833158904
0.05,7.771898175
0.0504,7.708783585
0.0508,7.644468284
0.0512,7.57942461
0.0516,7.514002652
0.052,7.448305773
0.0524,7.382214097
0.0528,7.315322363
0.0532,7.247012612
0.0536,7.176971702
0.054,7.105660693
0.0544,7.033995124
0.0548,6.962718593
0.0552,6.891636276
0.0556,6.819994797
0.056,6.747361613
0.0564,6.674093391
0.0568,6.600904341
0.0572,6.527952806
0.0576,6.454506857
0.058,6.379651345
0.0584,6.303179108
0.0588,6.225535937
0.0592,6.14717595
0.0596,6.067975592
0.06,5.987476239
0.0604,5.905664107
0.0608,5.823197641
0.0612,5.740716456
0.0616,5.658355334
0.062,5.575785208
0.0624,5.492815143
0.0628,5.409682484
0.0632,5.326685974
0.0636,5.243569568
0.064,5.159574711
0.0644,5.074074508
0.0648,4.987105974
0.0652,4.899338875
0.0656,4.81156957
0.066,4.724303478
0.0664,4.637664933
0.0668,4.55143457
0.0672,4.465091117
0.0676,4.378029288
0.068,4.289917204
0.0684,4.200992241
0.0688,4.111899356
0.0692,4.023105163
0.0696,3.934608068
0.07,3.846091112
0.0704,3.757414109
0.0708,3.668749083
0.0712,3.580311097
0.0716,3.492140237
0.072,3.404200388
0.0724,3.316613236
0.0728,3.229569592
0.0732,3.142979295
0.0736,3.056450163
0.074,2.969785613
0.0744,2.883441119
0.0748,2.79819207
0.0752,2.714345804
0.0756,2.631378091
0.076,2.548595038
0.0764,2.466045404
0.0768,2.38444507
0.0772,2.304164517
0.0776,2.224703275
0.078,2.145905867
0.0784,2.07025127
0.0788,2.003585441
0.0792,1.953065368
0.0796,1.923516606
0.08,1.914645403
0.0804,1.920586392
0.0808,1.932286703
0.0812,1.941887473
0.0816,1.946378204
0.082,1.947550182
0.0824,1.948635659
0.0828,1.951127498
0.0832,1.954278431
0.0836,1.956762015
0.084,1.958277362
0.0844,1.959517858
0.0848,1.961035881
0.0852,1.962607291
0.0856,1.963696117
0.086,1.964299563
0.0864,1.965077622
0.0868,1.966644968
0.0872,1.968908555
0.0876,1.97118815
0.088,1.97293377
0.0884,1.974183481
0.0888,1.975365865
0.0892,1.976722226
0.0896,1.978121905
0.09,1.979269167
0.0904,1.980104942
0.0908,1.980823225
0.0912,1.981629301
0.0916,1.98260121
0.092,1.983702178
0.0924,1.98493781
0.0928,1.986299261
0.0932,1.987651269
0.0936,1.988746921
0.094,1.989436615
0.0944,1.989857532
0.0948,1.990345764
0.0952,1.99117617
0.0956,1.992345362
0.096,1.993616064
0.0964,1.994791575
0.0968,1.995841054
0.0972,1.996836962
0.0976,1.997801181
0.098,1.998636198
0.0984,1.999230733
0.0988,1.999612934
0.0992,1.999974091
0.0996,2.000535552
0.1,2.001412378
0.1004,2.002563127
0.1008,2.003844006
0.1012,2.005078703
0.1016,2.006139084
0.102,2.006988195
0.1024,2.007664157
0.1028,2.008248572
0.1032,2.008784313
0.1036,2.009277508
0.104,2.009719509
0.1044,2.010150997
0.1048,2.010672838
0.1052,2.011400727
0.1056,2.012363344
0.106,2.013477456
0.1064,2.01457784
0.1068,2.015497417
0.1072,2.016146258
0.1076,2.016547297
0.108,2.01680935
0.1084,2.017077144
0.1088,2.017475346
0.1092,2.018028458
0.1096,2.018708072
0.11,2.019436152
0.1104,2.020186234
0.1108,2.020952129
0.1112,2.021730619
0.1116,2.022484754
0.112,2.023149459
0.1124,2.02370464
0.1128,2.024196159
0.1132,2.024739189
0.1136,2.025433599
0.114,2.026261775
0.1144,2.027114752
0.1148,2.027849251
0.1152,2.028385374
0.1156,2.028760337
0.116,2.029111349
0.1164,2.029561923
0.1168,2.030152793
0.1172,2.030831864
0.1176,2.031533074
0.118,2.03220437
0.1184,2.03285415
0.1188,2.033495581
0.1192,2.034107709
0.1196,2.034637905
0.12,2.035060303
0.1204,2.035391663
0.1208,2.035716519
0.1212,2.036127261
0.1216,2.036674094
0.122,2.037367583
0.1224,2.03815124
0.1228,2.038956612
0.1232,2.03971279
0.1236,2.040357899
0.124,2.040872835
0.1244,2.041279595
0.1248,2.041640582
0.1252,2.042007663
0.1256,2.042434545
0.126,2.042936175
0.1264,2.043512274
0.1268,2.044127022
0.1272,2.044752921
0.1276,2.045342423
0.128,2.04585345
0.1284,2.046280987
0.1288,2.046646567
0.1292,2.047014104
0.1296,2.047447074
0.13,2.048005835
0.1304,2.048667953
0.1308,2.049349596
0.1312,2.049945386
0.1316,2.050392759
0.132,2.050738642
0.1324,2.051108912
0.1328,2.051597289
0.1332,2.052197218
0.1336,2.052820709
0.134,2.053364688
0.1344,2.053810326
0.1348,2.054221711
0.1352,2.054662124
0.1356,2.055100488
0.136,2.055444746
0.1364,2.055651908
0.1368,2.055797033
0.1372,2.056042188
0.1376,2.056508311
0.138,2.057190085
0.1384,2.057962388
0.1388,2.058664479
0.1392,2.059227728
0.1396,2.059665333
0.14,2.060065225
0.1404,2.060472592
0.1408,2.060908017
0.1412,2.061351594
0.1416,2.061796516
0.142,2.062256429
0.1424,2.062747277
0.1428,2.06326456
0.1432,2.063777576
0.1436,2.064248718
0.144,2.064653985
0.1444,2.065005215
0.1448,2.065362282
0.1452,2.065779441
0.1456,2.06626872
0.146,2.066785674
0.1464,2.067260619
0.1468,2.067643709
0.1472,2.067960603
0.1476,2.068287904
0.148,2.068705219
0.1484,2.069213214
0.1488,2.069743263
0.1492,2.070212831
0.1496,2.07058855
0.15,2.070913326
0.1504,2.071277252
0.1508,2.071722314
0.1512,2.072206663
