T(K),tau(ms)
840.80953,7.48371
816.75458,10.32753
793.03525,12.50562
764.71191,15.27418
736.03502,19.82823
711.84308,29.08097
683.93699,49.45641
658.82706,77.76496
635.067,152.03672
