T(K),tau(ms)
930.49829,6.92652
895.98589,15.57004
865.92682,28.39565
814.98862,42.73918
789.0505,52.66093
762.54559,64.88378
736.03502,75.86917
706.50458,101.97769
680.97068,161.75637
