T(K),tau(ms)
857.07796,0.00774
826.94518,0.01198
795.96288,0.01652
766.92057,0.02127
735.78969,0.02868
712.18528,0.03808
694.16967,0.04979
668.11425,0.08773
644.99484,0.19747
