"T(K)","tau(ms)",
1281.295646,0.04723,47.23
1228.172308,0.07687,76.87
1169.478483,0.14899,148.99
1122.817103,0.23844,238.44
1067.739531,0.447,447
1016.237442,0.86997,869.97
