time(s),volume(cm3)
0,1
0.0005,0.997598167340394
0.001,0.996731831800211
0.0015,0.99697933216794
0.002,0.998251678428641
0.0025,1.00124451625396
0.003,0.997370507992921
0.0035,0.993016432574352
0.004,0.992117562535522
0.0045,0.988723939043849
0.005,0.986326541835943
0.0055,0.982663964273995
0.006,0.978457011030122
0.0065,0.970755299036337
0.007,0.954073711606917
0.0075,0.935876133652465
0.008,0.921266274870841
0.0085,0.904441656376522
0.009,0.885163869603872
0.0095,0.862598732967943
0.01,0.841585124507399
0.0105,0.825034115801217
0.011,0.807070510443755
0.0115,0.790098209701053
0.012,0.77249562056558
0.0125,0.751762325619495
0.013,0.730329530206511
0.0135,0.708511622179577
0.014,0.688020619595618
0.0145,0.668621789634775
0.015,0.646252232099411
0.0155,0.62220094653278
0.016,0.599668035587297
0.0165,0.579939422171695
0.017,0.561846170403738
0.0175,0.542555115058106
0.018,0.522406574092729
0.0185,0.502058336613271
0.019,0.48264580191835
0.0195,0.46365272967809
0.02,0.444075858556846
0.0205,0.424651991475178
0.021,0.405950779928868
0.0215,0.387514987718742
0.022,0.368885924546855
0.0225,0.349814795616773
0.023,0.330850042262033
0.0235,0.312281737930739
0.024,0.293870743756581
0.0245,0.275649120035573
0.025,0.257483677591417
0.0255,0.239264660402143
0.026,0.221043912699764
0.0265,0.202861014509333
0.027,0.184157030030984
0.0275,0.165651589968945
0.028,0.149517690846632
0.0285,0.137147055235729
0.029,0.128474440768576
0.0295,0.122394816844382
0.03,0.117713294425398
0.0305,0.113808001445127
0.031,0.110411344954136
0.0315,0.107399330633068
0.032,0.104738281413726
0.0325,0.102451468614049
0.033,0.100548586993922
0.0335,0.0990212206830285
0.034,0.0978204343359305
0.0345,0.0969175410576572
0.035,0.0962701755370564
0.0355,0.0958308352850767
0.036,0.0955437666698944
0.0365,0.0953671842955853
0.037,0.0952600334422133
0.0375,0.0952002648646833
0.038,0.0951644795299328
0.0385,0.0951503768833941
0.03876,0.0951473572538202
0.04376,0.0963180215599892
0.04876,0.0982994469384807
0.05376,0.100102168249981
0.05876,0.101687497712024
0.06376,0.103229420736715
0.06876,0.104566777596082
0.07376,0.105749344661109
0.07876,0.106938083187798
0.08376,0.107957137376737
0.08876,0.108931240641237
0.09376,0.109835439392742
0.09876,0.110677408118085
0.10376,0.111553272534286
0.10876,0.112275432195823
0.11376,0.113042903779675
0.11876,0.113776030708491
0.12376,0.114502230321427
0.12876,0.115128893269728
0.13376,0.115838397907913
0.13876,0.116458908827478
0.14376,0.117028999257533
0.14876,0.117658937065985
0.15376,0.118169641435186
0.15876,0.118739276787312
0.16376,0.119228095212563
0.16876,0.119802101354741
0.17376,0.120265485474033
0.17876,0.12079619193203
0.18376,0.121248343937575
0.18876,0.121772769859215
0.19376,0.122284295897344
0.19876,0.122770515277835
0.20376,0.123167499393129
0.20876,0.123577183284712
0.21376,0.124075811277044
0.21876,0.124637606932118
0.22376,0.125089683951085
0.22876,0.125527137774088
0.23376,0.125930353990528
0.23876,0.126329187767789
0.24376,0.126748332993614
0.24876,0.127166812890128
0.25376,0.127579256437067
0.25876,0.128037353994432
0.26376,0.128457277825117
0.26876,0.128888038534084
0.27376,0.129326477688905
0.27876,0.129726713981585
0.28376,0.130118392975041
0.28876,0.130487477681491
0.29376,0.130791172572548
0.29876,0.131196432456823
0.30376,0.131550251293102
0.30876,0.13198102403875
0.31376,0.132405541200956
0.31876,0.13273059606928
0.32376,0.133122941899406
0.32876,0.133435184411534
0.33376,0.133797721983411
0.33876,0.134148643037256
0.34376,0.134448177140659
0.34876,0.134804336619805
0.35376,0.135180032777375
0.35876,0.135454765253809
0.36376,0.135824896773761
0.36876,0.136234268511168
0.37376,0.136628069263522
0.37876,0.1369017836004
0.38376,0.137261648557175
0.38876,0.13752972662063
0.39376,0.137796806848238
0.39876,0.138153127290968
