time(s),volume(cm3)
0,1
0.000199999999999999,1.00131219126966
0.000400000000000001,1.00275588167103
0.0006,1.00426695584868
0.000800000000000002,1.00579271921606
0.001,1.00729969489912
0.0012,1.00878101963829
0.0014,1.01026173505691
0.0016,1.01177559696918
0.0018,1.01338201029184
0.002,1.01475022271252
0.0022,1.01407263818895
0.0024,1.0128861258619
0.0026,1.01143352483797
0.0028,1.00969780378769
0.003,1.00780097828792
0.0032,1.00620997505046
0.0034,1.0059887574154
0.0036,1.00741239797933
0.0038,1.00929489472569
0.004,1.01022697638022
0.0042,1.0092952325617
0.0044,1.00657964290615
0.0046,1.00295222584253
0.0048,0.9990879126529
0.005,0.995066814618205
0.0052,0.990772533272491
0.0054,0.986366584412771
0.0056,0.982219270747577
0.0058,0.978715690294607
0.006,0.976122060282915
0.0062,0.973995358921046
0.0064,0.971528889916001
0.0066,0.968299525593186
0.0068,0.964062226612482
0.007,0.959136713859698
0.0072,0.954165913712531
0.0074,0.949256401858495
0.0076,0.944007306038904
0.0078,0.938425756737897
0.008,0.932106505934345
0.0082,0.924657287327308
0.0084,0.915567717699123
0.0086,0.904804676587429
0.0088,0.893124920173091
0.009,0.881265889147247
0.0092,0.870165482156496
0.0094,0.860351547481138
0.0096,0.851814028514774
0.0098,0.844171333465246
0.01,0.837158448036817
0.0102,0.830654668488337
0.0104,0.824724723531139
0.0106,0.819067482038606
0.0108,0.813048076056021
0.011,0.806041813953455
0.0112,0.798158331260755
0.0114,0.790047673430251
0.0116,0.782000028691686
0.0118,0.773900524164331
0.012,0.765741804598305
0.0122,0.757536504066749
0.0124,0.748978060972178
0.0126,0.73990416856768
0.0128,0.730654572111137
0.013,0.721448799153645
0.0132,0.71218689316811
0.0134,0.703010422394903
0.0136,0.694034508050973
0.0138,0.685177870580642
0.014,0.676608327542468
0.0142,0.668300358548391
0.0144,0.659952763091604
0.0146,0.651571092916992
0.0148,0.643333535544824
0.015,0.635239149188073
0.0152,0.626900798085362
0.0154,0.618057098376319
0.0156,0.608763098907856
0.0158,0.599269689884807
0.016,0.589672471920454
0.0162,0.580160895674782
0.0164,0.570975485729053
0.0166,0.56206467701647
0.0168,0.553326828793179
0.017,0.544820108784703
0.0172,0.536593708962526
0.0174,0.528554547523013
0.0176,0.52059437994499
0.0178,0.512550879603562
0.018,0.50422198287979
0.0182,0.495632757537271
0.0184,0.486997031228632
0.0186,0.478502153165702
0.0188,0.470160529876381
0.019,0.461945895143924
0.0192,0.45381305841177
0.0194,0.445731839868527
0.0196,0.43767588232643
0.0198,0.429631022651004
0.02,0.421623897552796
0.0202,0.413652521721774
0.0204,0.405717034110377
0.0206,0.397843520429144
0.0208,0.39003151351708
0.021,0.382277937064189
0.0212,0.374552253601109
0.0214,0.36681492397559
0.0216,0.359052655865689
0.0218,0.351244067931962
0.022,0.34336593468563
0.0222,0.335441925759905
0.0224,0.327498028916168
0.0226,0.319558593548741
0.0228,0.311684272018241
0.023,0.303932719116817
0.0232,0.296313193027699
0.0234,0.288794537728153
0.0236,0.281340014509539
0.0238,0.273946207691675
0.024,0.266613732707323
0.0242,0.259320751211641
0.0244,0.252050910644206
0.0246,0.244782494960631
0.0248,0.237499588980638
0.025,0.230212114448879
0.0252,0.222937453688015
0.0254,0.21568503176516
0.0256,0.208457769155028
0.0258,0.201265453609833
0.026,0.194105030492273
0.0262,0.186932269300045
0.0264,0.179690590098216
0.0266,0.172371642216798
0.0268,0.165019823725068
0.027,0.157733647764958
0.0272,0.150663841474508
0.0274,0.143972825691057
