time(s),volume(cm3)
0,1
0.000199999999999999,0.996611150712521
0.000400000000000001,0.993758407105616
0.0006,0.991408286936807
0.000800000000000002,0.989549976710378
0.001,0.988186126820945
0.0012,0.987321687052564
0.0014,0.986937931059602
0.0016,0.9869789557964
0.0018,0.98729893330027
0.002,0.98745259745558
0.0022,0.988195280456588
0.0024,0.98961677614167
0.0026,0.99081634413689
0.0028,0.990708267525273
0.003,0.988884932256854
0.0032,0.985878642130369
0.0034,0.982327479132331
0.0036,0.978809585034357
0.0038,0.975700404581908
0.004,0.972863129785586
0.0042,0.969684233447949
0.0044,0.965549674202982
0.0046,0.96073700415982
0.0048,0.955834773827217
0.005,0.950233826510999
0.0052,0.943423031359466
0.0054,0.935018604706945
0.0056,0.924674595034958
0.0058,0.913823891014162
0.006,0.903888497661875
0.0062,0.895223839975627
0.0064,0.888051888307936
0.0066,0.881955963848939
0.0068,0.875928618469831
0.007,0.869223149525099
0.0072,0.86169361424164
0.0074,0.853525925706516
0.0076,0.844988078794778
0.0078,0.835849094659102
0.008,0.826086545560851
0.0082,0.816477724661675
0.0084,0.808000445316221
0.0086,0.800684703308284
0.0088,0.793982416039981
0.009,0.787374099457762
0.0092,0.780442840657705
0.0094,0.772866349436169
0.0096,0.764507418865628
0.0098,0.755048649191241
0.01,0.744707929957959
0.0102,0.734052278392035
0.0104,0.723313832698777
0.0106,0.712563056236952
0.0108,0.70202129705843
0.011,0.691871364764855
0.0112,0.682149812714181
0.0114,0.672591963244723
0.0116,0.662950396869195
0.0118,0.653677956707721
0.012,0.6450953445052
0.0122,0.63683225746917
0.0124,0.62847631848227
0.0126,0.620087925430364
0.0128,0.612047498644824
0.013,0.604346045185753
0.0132,0.596882102727924
0.0134,0.589453847378035
0.0136,0.581730547378915
0.0138,0.573761978213208
0.014,0.565718753475452
0.0142,0.557575753415348
0.0144,0.549496385984935
0.0146,0.541638862158674
0.0148,0.53386494615228
0.015,0.525807345115767
0.0152,0.51725374280807
0.0154,0.508310550304707
0.0156,0.499302733776484
0.0158,0.490298742716941
0.016,0.481259820238505
0.0162,0.472186634057065
0.0164,0.463115027990896
0.0166,0.454172259504291
0.0168,0.445524546844557
0.017,0.437267502524666
0.0172,0.429296976473463
0.0174,0.421491498188609
0.0176,0.413720231157569
0.0178,0.405817692557498
0.018,0.39777865476292
0.0182,0.389739281938008
0.0184,0.381792336186998
0.0186,0.373986672187677
0.0188,0.366379598661754
0.019,0.358945231441866
0.0192,0.351658778097824
0.0194,0.344416268328333
0.0196,0.337101429482951
0.0198,0.329701912497107
0.02,0.322217819743287
0.0202,0.314661171260802
0.0204,0.307059087532319
0.0206,0.299418916979213
0.0208,0.291755613567366
0.021,0.284097503182742
0.0212,0.276485064958076
0.0214,0.268946699935075
0.0216,0.26146826769154
0.0218,0.254016910036322
0.022,0.246553806348692
0.0222,0.239054874477404
0.0224,0.23154267728181
0.0226,0.224052406118856
0.0228,0.216622822581221
0.023,0.209248105837763
0.0232,0.201895597258379
0.0234,0.194533552811055
0.0236,0.18711243522276
0.0238,0.179601765576338
0.024,0.172026594734127
0.0242,0.164449451817072
0.0244,0.156988629065701
0.0246,0.149804344766865
0.0248,0.143052619040055
0.025,0.136857771351793
0.0252,0.131286488368269
0.0254,0.126353857321457
0.0256,0.122034701127036
0.0258,0.118275803917976
0.026,0.115017748887423
0.0262,0.112194649642557
0.0264,0.109726745128442
0.0266,0.107535551295804
0.0268,0.105559843849463
0.027,0.103756492682784
0.0272,0.102094427834847
0.0274,0.100552648809619
0.0276,0.0991161435613894
0.0278,0.0977637273667681
0.028,0.0964762988359169
0.0282,0.0952474174384344
0.0284,0.0940767254634315
0.0286,0.0929671029233467
0.0288,0.0919259564103527
0.029,0.0909618513931775
0.0292,0.0900808393567302
0.0294,0.0892841687453529
0.0296,0.0885734377961866
0.0298,0.087953043232957
0.03,0.0874205271348467
0.0302,0.0869667077445033
0.0304,0.0865848159695234
0.0306,0.0862703948958678
0.0308,0.0860190696348788
0.031,0.0858256140381232
0.0312,0.0856812713857589
0.0314,0.0855750452500098
0.0316,0.085499595425651
0.0318,0.0854532307571082
0.032,0.0854351128212274
0.03205,0.0854344022772999
0.03405,0.085981397827005
0.03605,0.086777643120307
0.03805,0.087735142094463
0.04005,0.0888056844136148
0.04205,0.089736872095869
0.04405,0.0906487349044419
0.04605,0.0914454725457185
0.04805,0.0921823049371673
0.05005,0.0929647691612009
0.05205,0.0936842926187079
0.05405,0.0942707993720521
0.05605,0.0949119719725609
0.05805,0.0954797691978802
0.06005,0.0960322650151594
0.06205,0.0965697255691203
0.06405,0.0971123631546002
