Sr,a,b,Ox,bg1,bg2,bg3,bg4,bg5,T,P,Tig,sigma
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1465,2,0.1183,0.0118
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1423,2,0.1833,0.0183
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1407,2,0.2050,0.0205
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1381,2,0.2788,0.0279
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1353,2,0.3688,0.0369
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1339,2,0.4878,0.0488
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1305,2,0.6158,0.0616
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1282,2,0.7703,0.0770
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1258,2,1.2162,0.1216
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1478,10,0.0498,0.0050
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1449,10,0.0870,0.0087
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1414,10,0.1150,0.0115
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1399,10,0.1148,0.0115
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1389,10,0.1344,0.0134
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1383,10,0.1277,0.0128
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1371,10,0.1275,0.0127
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1347,10,0.1707,0.0171
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1311,10,0.2282,0.0228
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1310,10,0.2415,0.0241
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1279,10,0.3086,0.0309
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1274,10,0.3102,0.0310
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1242,10,0.3702,0.0370
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1236,10,0.4214,0.0421
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1217,10,0.5302,0.0530
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1186,10,0.6545,0.0654
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1186,10,0.7672,0.0767
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1161,10,1.0677,0.1068
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1159,10,1.2580,0.1258
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1558,5,0.0591,0.0059
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1538,5,0.0712,0.0071
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1538,5,0.0492,0.0049
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1497,5,0.0845,0.0084
