MB-C5H10O2 + OH <=> H2O + MB3J
MP2D + OH => C2H3 + CO + CH2O + H2O
MB-C5H10O2 + HO2 <=> H2O2 + MB4J
MB-C5H10O2 <=> BAOJ + CH3
MB-C5H10O2 + OH <=> H2O + MBMJ
MB-C5H10O2 + HO2 <=> H2O2 + MBMJ
MB-C5H10O2 + OH <=> H2O + MB2J
MB4J => C2H4 + ME2J
MB-C5H10O2 + CH3 => CH4 + MBMJ
MB-C5H10O2 + H => H2 + MB4J
MP2D + OH => MP2DMJ + H2O
MB-C5H10O2 + O2 => HO2 + MBMJ
MB3OO <=> MB3J + O2
MB-C5H10O2 + H => H2 + MB3J
MB-C5H10O2 + OH <=> H2O + MB4J
MB-C5H10O2 + HO2 <=> H2O2 + MB3J
MB-C5H10O2 <=> ME2J + C2H5
MB3J => C3H6 + CH3OCO
MB-C5H10O2 + H => H2 + MB2J
MB-C5H10O2 + O2 => HO2 + MB2J
MB-C5H10O2 + HO2 <=> H2O2 + MB2J
