"Time  (sec)","Volume  (cm3)","Temperature  (K)","Pressure  (bar)","Mole_fraction_AR  ()","Mole_fraction_HE  ()","Mole_fraction_N2  ()","Mole_fraction_H2  ()","Mole_fraction_H  ()","Mole_fraction_O  ()","Mole_fraction_O2  ()","Mole_fraction_OH  ()","Mole_fraction_H2O  ()","Mole_fraction_HO2  ()","Mole_fraction_H2O2  ()","Mole_fraction_CO  ()","Mole_fraction_CO2  ()","Mole_fraction_C  ()","Mole_fraction_CH  ()","Mole_fraction_CH2  ()","Mole_fraction_CH2(S)  ()","Mole_fraction_CH3  ()","Mole_fraction_CH4  ()","Mole_fraction_HCO  ()","Mole_fraction_CH2O  ()","Mole_fraction_CH2OH  ()","Mole_fraction_CH3O  ()","Mole_fraction_CH3OH  ()","Mole_fraction_C2H  ()","Mole_fraction_C2H2  ()","Mole_fraction_C2H3  ()","Mole_fraction_C2H4  ()","Mole_fraction_C2H5  ()","Mole_fraction_C2H6  ()","Mole_fraction_HCCO  ()","Mole_fraction_CH2CO  ()","Mole_fraction_CH2CHO  ()","Mole_fraction_CH3CHO  ()","Mole_fraction_CH3CO  ()","Mole_fraction_H2CC  ()","Mole_fraction_OH*  ()","Mole_fraction_CH*  ()","Specific_heat_Cp  (erg/g-K)","Heat_capacity_ratio  ()","Entropy  (erg/g-K)","Ppmvd15%O2_CO  (ppm)"
0.036,1,2415.194,1.370358,0.9449334,2.798094E-22,0,5.228209E-05,0.0001540351,0.0008038567,0.01866979,0.0005628168,0.001315408,1.338968E-07,7.796188E-10,0.003061282,0.03044699,1.070127E-15,5.124139E-18,4.149846E-19,3.10565E-20,1.514253E-19,3.078866E-21,2.678219E-10,1.88215E-13,1.416627E-19,8.104081E-21,3.975511E-22,5.623862E-24,3.368845E-23,5.167456E-29,1.86892E-30,2.666392E-36,1.07531E-38,2.508545E-20,3.528363E-21,6.913935E-28,1.036059E-29,3.560415E-27,2.691388E-26,3.500711E-12,2.003937E-24,6404963,1.483719,52765960,961.3876
0.037,1,2415.816,1.370682,0.9449535,2.971817E-22,0,5.185327E-05,0.0001517411,0.0007951109,0.01865994,0.0005605598,0.00131815,1.329408E-07,7.716882E-10,0.003032546,0.03047644,1.057477E-15,5.029232E-18,4.084883E-19,3.057138E-20,1.483463E-19,3.027809E-21,2.617744E-10,1.851352E-13,1.374491E-19,7.8458E-21,3.875951E-22,5.531667E-24,3.271003E-23,4.926902E-29,1.851291E-30,2.510671E-36,1.037765E-38,2.465911E-20,3.474078E-21,6.697638E-28,1.070236E-29,3.455182E-27,2.615179E-26,3.490046E-12,1.973858E-24,6405067,1.483692,52765980,952.3168
0.038,1,2416.395,1.370983,0.9449723,3.301715E-22,0,5.145236E-05,0.0001496147,0.0007869784,0.01865076,0.0005584402,0.001320708,1.320526E-07,7.643046E-10,0.003005742,0.03050391,1.045637E-15,4.941893E-18,4.02489E-19,3.012318E-20,1.455105E-19,2.980615E-21,2.562136E-10,1.822828E-13,1.336027E-19,7.610381E-21,3.784724E-22,5.421994E-24,3.225165E-23,4.785549E-29,1.832035E-30,2.191232E-36,9.576151E-39,2.426379E-20,3.423799E-21,6.504893E-28,9.821837E-30,3.359103E-27,2.555713E-26,3.480187E-12,1.946034E-24,6405164,1.483667,52765990,943.857
0.039,1,2416.935,1.371264,0.9449897,3.485222E-22,0,5.107738E-05,0.0001476419,0.0007794101,0.01864218,0.0005564492,0.001323097,1.312266E-07,7.574252E-10,0.002980727,0.03052955,1.034552E-15,4.861402E-18,3.969423E-19,2.970863E-20,1.42895E-19,2.936936E-21,2.510928E-10,1.796383E-13,1.300848E-19,7.39538E-21,3.700996E-22,5.291589E-24,3.205392E-23,4.686119E-29,1.750188E-30,2.083195E-36,9.048347E-39,2.389686E-20,3.377173E-21,6.332458E-28,8.739598E-30,3.271217E-27,2.500643E-26,3.471059E-12,1.920272E-24,6405255,1.483644,52766010,935.9621
0.04,1,2417.439,1.371527,0.9450061,3.388101E-22,0,5.072649E-05,0.0001458097,0.0007723611,0.01863416,0.0005545788,0.00132533,1.304578E-07,7.510106E-10,0.002957366,0.03055349,1.024172E-15,4.787117E-18,3.918082E-19,2.932479E-20,1.404792E-19,2.896456E-21,2.463705E-10,1.77184E-13,1.268615E-19,7.198671E-21,3.624021E-22,5.199457E-24,3.1138E-23,4.486239E-29,1.681932E-30,2.298697E-36,9.361518E-39,2.355584E-20,3.333836E-21,6.166081E-28,9.840342E-30,3.190647E-27,2.426401E-26,3.462596E-12,1.896402E-24,6405339,1.483622,52766020,928.5899
0.041,1,2417.91,1.371771,0.9450213,2.972165E-22,0,5.039801E-05,0.0001441065,0.0007657909,0.01862666,0.0005528213,0.001327417,1.297419E-07,7.450259E-10,0.002935537,0.03057586,1.014449E-15,4.718468E-18,3.870509E-19,2.896901E-20,1.382455E-19,2.858915E-21,2.420097E-10,1.749042E-13,1.239028E-19,7.018343E-21,3.55315E-22,5.137572E-24,3.015528E-23,4.390301E-29,1.701289E-30,1.943453E-36,8.63305E-39,2.323875E-20,3.293545E-21,6.01696E-28,9.214625E-30,3.116679E-27,2.35863E-26,3.454739E-12,1.87425E-24,6405418,1.483602,52766030,921.7018
0.042,1,2418.35,1.372,0.9450355,1.941612E-22,0,5.009038E-05,0.000142522,0.0007596628,0.01861965,0.0005511695,0.001329369,1.290745E-07,7.394389E-10,0.00291513,0.03059677,1.005338E-15,4.654955E-18,3.826387E-19,2.863893E-20,1.361781E-19,2.824078E-21,2.379782E-10,1.727847E-13,1.211832E-19,6.852773E-21,3.487817E-22,5.021126E-24,3.072985E-23,4.298694E-29,1.673152E-30,1.704304E-36,7.982185E-39,2.294395E-20,3.256171E-21,5.88739E-28,7.998208E-30,3.048694E-27,2.355056E-26,3.447436E-12,1.853687E-24,6405492,1.483582,52766040,915.2627
0.043,1,2418.761,1.372214,0.9450488,1.296502E-22,0,4.980218E-05,0.0001410468,0.0007539434,0.01861309,0.0005496169,0.001331196,1.284522E-07,7.342197E-10,0.002896042,0.03061633,9.967993E-16,4.596124E-18,3.785425E-19,2.833241E-20,1.342618E-19,2.791692E-21,2.342467E-10,1.708127E-13,1.186792E-19,6.700528E-21,3.427502E-22,4.927819E-24,3.118986E-23,4.084822E-29,1.529523E-30,2.105612E-36,8.412154E-39,2.266932E-20,3.221394E-21,5.759968E-28,8.492304E-30,2.986064E-27,2.362988E-26,3.44064E-12,1.834574E-24,6405561,1.483565,52766050,909.2403
0.044,1,2419.145,1.372414,0.9450612,1.133335E-22,0,4.953209E-05,0.0001396722,0.0007486023,0.01860695,0.0005481574,0.001332906,1.278714E-07,7.293416E-10,0.00287818,0.03063463,9.887946E-16,4.541572E-18,3.747364E-19,2.804753E-20,1.324835E-19,2.761545E-21,2.307889E-10,1.689764E-13,1.163706E-19,6.560322E-21,3.371747E-22,4.903675E-24,2.905437E-23,4.071622E-29,1.493631E-30,2.025855E-36,8.144565E-39,2.241309E-20,3.188799E-21,5.641623E-28,8.319015E-30,2.928303E-27,2.236945E-26,3.43431E-12,1.816782E-24,6405626,1.483548,52766060,903.6051
0.045,1,2419.505,1.372601,0.9450729,1.330442E-22,0,4.927888E-05,0.0001383907,0.0007436118,0.0186012,0.0005467851,0.001334507,1.273291E-07,7.247805E-10,0.002861458,0.03065176,9.812887E-16,4.490942E-18,3.71197E-19,2.778254E-20,1.308329E-19,2.733507E-21,2.275818E-10,1.672653E-13,1.142397E-19,6.431026E-21,3.320161E-22,4.84835E-24,2.713331E-23,4.126348E-29,1.6033E-30,1.500548E-36,7.351484E-39,2.217433E-20,3.158393E-21,5.537646E-28,7.723447E-30,2.874991E-27,2.107379E-26,3.428409E-12,1.800225E-24,6405686,1.483532,52766070,898.3299
0.046,1,2419.841,1.372776,0.9450838,1.561313E-22,0,4.904142E-05,0.000137195,0.0007389463,0.01859581,0.0005454947,0.001336008,1.268224E-07,7.205135E-10,0.002845798,0.03066781,9.742487E-16,4.443905E-18,3.679032E-19,2.753589E-20,1.293E-19,2.707439E-21,2.246045E-10,1.656698E-13,1.122702E-19,6.311642E-21,3.272384E-22,4.727806E-24,2.938936E-23,3.903928E-29,1.605634E-30,1.369919E-36,7.055442E-39,2.195209E-20,3.130348E-21,5.442939E-28,7.409236E-30,2.825716E-27,2.209428E-26,3.422904E-12,1.784816E-24,6405743,1.483518,52766080,893.3897
