#Data_structure,:,,,,,,,
Sr,a,b,Ox,bg1,T,P,Flf,sigma
1a,0.397,0,0.103,0.5,577,0.047,0.067,0.051
1b,0.397,0,0.103,0.5,577,0.047,0.002,0.015
