T,[MB]
911.1145990922844, 0.0006812975268825257
931.8188350983359, 0.0006650840830587622
952.5230711043873, 0.000644295424436271
973.2273071104387, 0.0006215199872707303
993.9315431164902, 0.0005917123967161627
1014.6357791225416, 0.0005601517765009445
1035.340015128593, 0.0005264549694440434
1056.0442511346446, 0.0004931989479754186
1076.748487140696, 0.0004614261441834001
1097.4527231467473, 0.0004300044734885625
1118.156959152799, 0.0003973638365422611
1138.8611951588503, 0.0003547298401793724
1154.338124054463, 0.00027720104322222813
1163.8702723146748, 0.00020476987358602182
1170.8400151285932, 0.0001322280121354095
1176.374810892587, 0.00005171405437598929
1177.7072617246597, 0.0000068700937132297425

