"time(s), volume(cm3)",
0,9.777838139
0.0004,9.785749954
0.0008,9.79042016
0.0012,9.792258176
0.0016,9.793203752
0.002,9.794569957
0.0024,9.796252048
0.0028,9.797145931
0.0032,9.796094323
0.0036,9.792783469
0.004,9.787795814
0.0044,9.782814041
0.0048,9.779880168
0.0052,9.780246792
0.0056,9.783442991
0.006,9.787533467
0.0064,9.790630179
0.0068,9.791890509
0.0072,9.791837988
0.0076,9.791365327
0.008,9.790840208
0.0084,9.790367658
0.0088,9.789947658
0.0092,9.790052655
0.0096,9.790735193
0.01,9.791470357
0.0104,9.791417842
0.0108,9.790367658
0.0112,9.789265247
0.0116,9.789475208
0.012,9.791890509
0.0124,9.795621185
0.0128,9.799039484
0.0132,9.80035495
0.0136,9.799197319
0.014,9.796514935
0.0144,9.793939345
0.0148,9.792415756
0.0152,9.79194303
0.0156,9.791522873
0.016,9.790472666
0.0164,9.788792873
0.0168,9.787166212
0.0172,9.786064636
0.0176,9.785487734
0.018,9.784858479
0.0184,9.783809925
0.0188,9.782447194
0.0192,9.781294459
0.0196,9.780403924
0.02,9.779513576
0.0204,9.778466351
0.0208,9.777471728
0.0212,9.776843664
0.0216,9.776581999
0.022,9.776268023
0.0224,9.775169286
0.0228,9.772763533
0.0232,9.768530646
0.0236,9.761798149
0.024,9.752161759
0.0244,9.740315843
0.0248,9.728348007
0.0252,9.718426613
0.0256,9.711000934
0.026,9.704205605
0.0264,9.695162281
0.0268,9.682503678
0.0272,9.667282223
0.0276,9.651963694
0.028,9.6379668
0.0284,9.624824252
0.0288,9.611119484
0.0292,9.596206609
0.0296,9.580548232
0.03,9.564650455
0.0304,9.547921851
0.0308,9.529189128
0.0312,9.507891242
0.0316,9.485385697
0.032,9.463925214
0.0324,9.444991676
0.0328,9.42773284
0.0332,9.409636772
0.0336,9.388332227
0.034,9.362970481
0.0344,9.334615603
0.0348,9.305105021
0.0352,9.275855797
0.0356,9.247324504
0.036,9.219178257
0.0364,9.190730509
0.0368,9.161314346
0.0372,9.130194051
0.0376,9.09683622
0.038,9.060993209
0.0384,9.02286657
0.0388,8.983430784
0.0392,8.944263474
0.0396,8.907133499
0.04,8.87307476
0.0404,8.841346792
0.0408,8.809715374
0.0412,8.775368129
0.0416,8.736727044
0.042,8.694366122
0.0424,8.650189409
0.0428,8.605670802
0.0432,8.560830956
0.0436,8.514778183
0.044,8.467191424
0.0444,8.41884389
0.0448,8.37069041
0.0452,8.322663091
0.0456,8.273558858
0.046,8.222276758
0.0464,8.169302955
0.0468,8.116395152
0.0472,8.065075625
0.0476,8.015192718
0.048,7.964972205
0.0484,7.912356884
0.0488,7.85636579
0.0492,7.79755345
0.0496,7.737184662
0.05,7.676444482
0.0504,7.616144659
0.0508,7.5563468
0.0512,7.496740172
0.0516,7.43670183
0.052,7.375873907
0.0524,7.314142638
0.0528,7.251538297
0.0532,7.187784646
0.0536,7.122532097
0.054,7.055714632
0.0544,6.98781139
0.0548,6.919433536
0.0552,6.850498583
0.0556,6.780261554
0.056,6.708184534
0.0564,6.634714867
0.0568,6.561207197
0.0572,6.488726872
0.0576,6.417203338
0.058,6.345624392
0.0584,6.27317383
0.0588,6.199931538
0.0592,6.126513104
0.0596,6.053266862
0.06,5.979883874
0.0604,5.905846881
0.0608,5.830844755
0.0612,5.754876796
0.0616,5.677923293
0.062,5.599894482
0.0624,5.520825232
0.0628,5.441047048
0.0632,5.361023124
0.0636,5.281040813
0.064,5.201235854
0.0644,5.121660908
0.0648,5.042426718
0.0652,4.963368825
0.0656,4.884023331
0.066,4.803846634
0.0664,4.722707369
0.0668,4.640883376
0.0672,4.558746279
0.0676,4.476370982
0.068,4.393733644
0.0684,4.311045294
0.0688,4.228804676
0.0692,4.147280277
0.0696,4.066159185
0.07,3.984778885
0.0704,3.902735367
0.0708,3.820237816
0.0712,3.737765292
0.0716,3.65566375
0.072,3.574055066
0.0724,3.493088515
0.0728,3.412975168
0.0732,3.333673067
0.0736,3.254720015
0.074,3.175677307
0.0744,3.096624125
0.0748,3.01813154
0.0752,2.940486733
0.0756,2.863267068
0.076,2.78581776
0.0764,2.708163868
0.0768,2.631097045
0.0772,2.555148175
0.0776,2.479852076
0.078,2.404821162
0.0784,2.332131299
0.0788,2.267449702
0.0792,2.218132867
0.0796,2.189348612
0.08,2.180894653
0.0804,2.186699916
0.0808,2.197598417
0.0812,2.206130173
0.0816,2.210005207
0.082,2.211400546
0.0824,2.213213734
0.0828,2.216169985
0.0832,2.219033797
0.0836,2.220754238
0.084,2.221806091
0.0844,2.223354429
0.0848,2.225643601
0.0852,2.227573975
0.0856,2.228040024
0.086,2.227327889
0.0864,2.226969373
0.0868,2.228270443
0.0872,2.231089338
0.0876,2.234126648
0.088,2.236238125
0.0884,2.237361221
0.0888,2.238250883
0.0892,2.23945807
0.0896,2.240860745
0.09,2.241944241
0.0904,2.242456237
0.0908,2.242686328
0.0912,2.243080797
0.0916,2.243912981
0.092,2.245176909
0.0924,2.246752267
0.0928,2.248491545
0.0932,2.250165563
0.0936,2.251492941
0.094,2.252285269
0.0944,2.252672647
0.0948,2.253036716
0.0952,2.253720105
0.0956,2.254784899
0.096,2.256037002
0.0964,2.257263456
0.0968,2.258420628
0.0972,2.259562946
0.0976,2.260704524
0.098,2.261703985
0.0984,2.262404087
0.0988,2.262778911
0.0992,2.263004433
0.0996,2.263333903
0.1,2.263958711
0.1004,2.264899271
0.1008,2.266035804
0.1012,2.267170152
0.1016,2.268173863
0.102,2.268982855
0.1024,2.269625547
0.1028,2.270129391
0.1032,2.270510708
0.1036,2.270787729
0.104,2.271037026
0.1044,2.271383766
0.1048,2.271980393
0.1052,2.272913583
0.1056,2.274140022
0.106,2.275491259
0.1064,2.276739227
0.1068,2.277698911
0.1072,2.278300771
0.1076,2.278585457
0.108,2.278740645
0.1084,2.278964355
0.1088,2.279413489
0.1092,2.280109009
0.1096,2.280988341
0.11,2.281963114
0.1104,2.282979396
0.1108,2.283974651
0.1112,2.284860988
0.1116,2.285526625
0.112,2.285913661
0.1124,2.286105368
0.1128,2.286295247
0.1132,2.286676973
0.1136,2.287325104
0.114,2.288163856
0.1144,2.289050028
0.1148,2.289856817
0.1152,2.290535013
0.1156,2.291075333
0.116,2.291496306
0.1164,2.291823695
0.1168,2.292084012
0.1172,2.292355303
0.1176,2.292733631
0.118,2.293316402
0.1184,2.29414495
0.1188,2.295134037
0.1192,2.29611617
0.1196,2.296894542
0.12,2.297392917
0.1204,2.297691981
0.1208,2.297966982
0.1212,2.298373771
0.1216,2.298961215
0.122,2.299647616
0.1224,2.300360559
0.1228,2.301043713
0.1232,2.301672406
0.1236,2.30221473
0.124,2.302638339
0.1244,2.302952168
0.1248,2.303219086
0.1252,2.303548263
0.1256,2.304015654
0.126,2.30463514
0.1264,2.305374286
0.1268,2.30617629
0.1272,2.306962195
0.1276,2.307651564
0.128,2.308164601
0.1284,2.308486225
0.1288,2.308723639
0.1292,2.309028274
0.1296,2.309526721
0.13,2.310194866
0.1304,2.31089591
0.1308,2.311486989
0.1312,2.311943058
0.1316,2.312366358
0.132,2.312841951
0.1324,2.313388166
0.1328,2.313907841
0.1332,2.314314675
0.1336,2.314622869
0.134,2.314980565
0.1344,2.315525973
0.1348,2.316263225
0.1352,2.317040884
0.1356,2.317635432
0.136,2.317951832
0.1364,2.31806533
0.1368,2.318193759
0.1372,2.318498779
0.1376,2.31899257
0.138,2.319561252
0.1384,2.320060846
0.1388,2.320449316
0.1392,2.320803208
0.1396,2.321228127
0.14,2.321746375
0.1404,2.322323778
0.1408,2.322871063
0.1412,2.323372721
0.1416,2.323879923
0.142,2.324422209
0.1424,2.324966711
0.1428,2.325426235
0.1432,2.325729974
0.1436,2.32593687
0.144,2.326191768
0.1444,2.326623238
0.1448,2.3272557
0.1452,2.327960403
0.1456,2.328561144
0.146,2.328960532
0.1464,2.329191398
0.1468,2.329379523
0.1472,2.329650806
0.1476,2.330042821
0.148,2.330525963
0.1484,2.331019601
0.1488,2.3314759
0.1492,2.331874442
0.1496,2.332241926
0.15,2.332611489
0.1504,2.333008507
0.1508,2.333440273
0.1512,2.333866904
0.1516,2.334246804
0.152,2.334546691
0.1524,2.334761186
0.1528,2.334942479
0.1532,2.335164878
0.1536,2.335500242
0.154,2.335972726
0.1544,2.336575514
0.1548,2.337230164
0.1552,2.337853273
0.1556,2.338338582
0.156,2.338655321
0.1564,2.338831391
0.1568,2.338978043
0.1572,2.339213074
0.1576,2.339604715
0.158,2.340123659
0.1584,2.340668418
0.1588,2.34115837
0.1592,2.341572378
0.1596,2.341958983
0.16,2.342371334
0.1604,2.342820688
0.1608,2.343272799
0.1612,2.34371267
0.1616,2.344133594
0.162,2.34456258
0.1624,2.345012853
0.1628,2.345442194
0.1632,2.345830209
0.1636,2.346194642
0.164,2.346602707
0.1644,2.347129024
0.1648,2.347777725
0.1652,2.348476347
0.1656,2.349118561
0.166,2.349640168
0.1664,2.350033682
0.1668,2.350343978
0.1672,2.350603381
0.1676,2.350835047
0.168,2.351050237
0.1684,2.351256175
0.1688,2.351495931
0.1692,2.351802675
0.1696,2.352183069
0.17,2.35262327
0.1704,2.353114747
0.1708,2.353642287
0.1712,2.354201959
0.1716,2.354787837
0.172,2.355366059
0.1724,2.355886727
0.1728,2.3563085
0.1732,2.3566286
0.1736,2.356879556
0.174,2.357137894
0.1744,2.357448919
0.1748,2.357837325
0.1752,2.358271196
0.1756,2.358685908
0.176,2.359044742
0.1764,2.359330301
0.1768,2.359571203
0.1772,2.359790808
0.1776,2.360018472
0.178,2.360283571
0.1784,2.360597523
0.1788,2.360983063
0.1792,2.361424217
0.1796,2.361866242
0.18,2.362262276
0.1804,2.362582143
0.1808,2.362848567
0.1812,2.363142488
0.1816,2.363516884
0.182,2.363983203
0.1824,2.364458475
0.1828,2.364855467
0.1832,2.365129803
0.1836,2.365318338
0.184,2.365521002
0.1844,2.365810319
0.1848,2.366205083
0.1852,2.366645056
0.1856,2.367097311
0.186,2.367559126
0.1864,2.368025897
0.1868,2.368506284
0.1872,2.368951245
0.1876,2.369343839
0.188,2.369688052
0.1884,2.370014172
0.1888,2.370336344
0.1892,2.370628994
0.1896,2.3708886
0.19,2.37112876
0.1904,2.371428988
0.1908,2.371828564
0.1912,2.372299227
0.1916,2.372749072
0.192,2.373088286
0.1924,2.373328939
0.1928,2.37356356
0.1932,2.373876641
0.1936,2.374279158
0.194,2.374742013
0.1944,2.375211923
0.1948,2.375687376
0.1952,2.37614346
0.1956,2.376534616
0.196,2.376789524
0.1964,2.376893341
0.1968,2.376950343
0.1972,2.377104308
0.1976,2.377434707
0.198,2.377905023
0.1984,2.378390588
0.1988,2.378819269
0.1992,2.379206534
0.1996,2.379588596
