"time(s), volume(cm3)",
0,9.601330533
0.0004,9.601472945
0.0008,9.601757789
0.0012,9.602683662
0.0016,9.603039824
0.002,9.600547346
0.0024,9.595282532
0.0028,9.590521581
0.0032,9.590166512
0.0036,9.595069235
0.004,9.601472945
0.0044,9.604749829
0.0048,9.603894737
0.0052,9.603253537
0.0056,9.608385966
0.006,9.620243646
0.0064,9.633068505
0.0068,9.638741417
0.0072,9.633140264
0.0076,9.619885985
0.008,9.606888341
0.0084,9.600404965
0.0088,9.601045719
0.0092,9.604322261
0.0096,9.605818947
0.01,9.604464781
0.0104,9.602398758
0.0108,9.602469982
0.0112,9.605248715
0.0116,9.608742624
0.012,9.610455014
0.0124,9.609241997
0.0128,9.606175382
0.0132,9.603253537
0.0136,9.602469982
0.014,9.604108495
0.0144,9.607530114
0.0148,9.61138286
0.0152,9.61473913
0.0156,9.617097303
0.016,9.618098152
0.0164,9.616668444
0.0168,9.61209673
0.0172,9.604464781
0.0176,9.595922484
0.018,9.589811469
0.0184,9.588533574
0.0188,9.591586986
0.0192,9.595922484
0.0196,9.598127534
0.02,9.597344963
0.0204,9.595211433
0.0208,9.594074004
0.0212,9.594571589
0.0216,9.595211433
0.022,9.594287249
0.0224,9.591586986
0.0228,9.588178674
0.0232,9.585411517
0.0236,9.58370958
0.024,9.583425995
0.0244,9.584915046
0.0248,9.58796575
0.0252,9.590947709
0.0256,9.590521581
0.026,9.584064092
0.0264,9.571815863
0.0268,9.557419975
0.0272,9.54475985
0.0276,9.534730097
0.028,9.524794929
0.0284,9.511469678
0.0288,9.493608757
0.0292,9.473686675
0.0296,9.455167268
0.03,9.439400054
0.0304,9.424853149
0.0308,9.408932544
0.0312,9.390911197
0.0316,9.372970633
0.032,9.358126147
0.0324,9.347212784
0.0328,9.337196156
0.0332,9.323015718
0.0336,9.301145488
0.034,9.272630877
0.0344,9.241715462
0.0348,9.212462136
0.0352,9.185863333
0.0356,9.159890207
0.036,9.132505446
0.0364,9.103991681
0.0368,9.076309821
0.0372,9.050311944
0.0376,9.024734159
0.038,8.997062553
0.0384,8.966494543
0.0388,8.934484385
0.0392,8.903217945
0.0396,8.872976005
0.04,8.842093046
0.0404,8.808318045
0.0408,8.770809962
0.0412,8.730310943
0.0416,8.687542707
0.042,8.642924031
0.0424,8.596804301
0.0428,8.550605506
0.0432,8.506752499
0.0436,8.467079697
0.044,8.431616204
0.0444,8.398214982
0.0448,8.363523877
0.0452,8.324627093
0.0456,8.280307051
0.046,8.231268843
0.0464,8.179430019
0.0468,8.126661274
0.0472,8.073874749
0.0476,8.020901444
0.048,7.96716876
0.0484,7.91236831
0.0488,7.856302737
0.0492,7.798704834
0.0496,7.739073352
0.05,7.677372487
0.0504,7.614654897
0.0508,7.552551518
0.0512,7.492294597
0.0516,7.433655847
0.052,7.37503899
0.0524,7.314698676
0.0528,7.251506241
0.0532,7.185302975
0.0536,7.116776894
0.054,7.047438256
0.0544,6.978909194
0.0548,6.912109953
0.0552,6.846554086
0.0556,6.780372895
0.056,6.71152561
0.0564,6.639104745
0.0568,6.563873272
0.0572,6.4874281
0.0576,6.411133609
0.058,6.335514816
0.0584,6.260229002
0.0588,6.184307881
0.0592,6.106523089
0.0596,6.026138611
0.06,5.943834053
0.0604,5.861338979
0.0608,5.780161226
0.0612,5.700187724
0.0616,5.619723912
0.062,5.537294105
0.0624,5.453085855
0.0628,5.368725452
0.0632,5.28558173
0.0636,5.203486374
0.064,5.121272573
0.0644,5.037990152
0.0648,4.953577516
0.0652,4.868316073
0.0656,4.782020801
0.066,4.694370968
0.0664,4.6055474
0.0668,4.516306166
0.0672,4.427208917
0.0676,4.33806549
0.068,4.248321155
0.0684,4.157901915
0.0688,4.067288039
0.0692,3.976757812
0.0696,3.885897915
0.07,3.794049456
0.0704,3.701262183
0.0708,3.608303964
0.0712,3.515822625
0.0716,3.423697107
0.072,3.331488238
0.0724,3.239231489
0.0728,3.147427225
0.0732,3.056247921
0.0736,2.965034367
0.074,2.873087493
0.0744,2.780631357
0.0748,2.688713351
0.0752,2.597880361
0.0756,2.507477818
0.076,2.416545385
0.0764,2.325274954
0.0768,2.23488948
0.0772,2.145835906
0.0776,2.056797748
0.078,1.966635093
0.0784,1.877970566
0.0788,1.798400579
0.0792,1.737411769
0.0796,1.701423915
0.08,1.69043558
0.0804,1.697644965
0.0808,1.712160661
0.0812,1.724244556
0.0816,1.73008787
0.082,1.731913224
0.0824,1.73365784
0.0828,1.736966214
0.0832,1.740766852
0.0836,1.743560934
0.084,1.745357624
0.0844,1.747331198
0.0848,1.750078406
0.0852,1.752847651
0.0856,1.754482031
0.086,1.754863592
0.0864,1.755132955
0.0868,1.756517485
0.0872,1.759162577
0.0876,1.762164893
0.088,1.764566655
0.0884,1.766184844
0.0888,1.767509206
0.0892,1.76895366
0.0896,1.770491689
0.09,1.77182536
0.0904,1.772846424
0.0908,1.773708833
0.0912,1.774651503
0.0916,1.775797955
0.092,1.777198498
0.0924,1.77887459
0.0928,1.780758704
0.0932,1.78256565
0.0936,1.783907
0.094,1.784569952
0.0944,1.784774048
0.0948,1.784993565
0.0952,1.785653636
0.0956,1.786839624
0.096,1.788379371
0.0964,1.790080206
0.0968,1.791843662
0.0972,1.793570811
0.0976,1.79508663
0.098,1.796166747
0.0984,1.796729416
0.0988,1.79694927
0.0992,1.797178547
0.0996,1.797727178
0.1,1.798727636
0.1004,1.800126893
0.1008,1.801751694
0.1012,1.80339406
0.1016,1.8048821
0.102,1.806082423
0.1024,1.806961943
0.1028,1.807533569
0.1032,1.807874754
0.1036,1.808105594
0.104,1.808378314
0.1044,1.808872741
0.1048,1.809736818
0.1052,1.810994181
0.1056,1.81252306
0.106,1.814096894
0.1064,1.81549999
0.1068,1.816586162
0.1072,1.817311427
0.1076,1.817726644
0.108,1.817961752
0.1084,1.818179865
0.1088,1.818560729
0.1092,1.819190416
