T(k)	f_exp	Value
993.0	5477.999999999996	4419.299597170115
1081.0	2349.0000000000027	2267.6731164003995
1120.0	1873.0000000000005	1760.49127029906
1028.0	3949.999999999995	3421.3986973762258
1048.0	2912.9999999999973	2869.065002253493
1081.0	2349.0000000000027	2267.6731164003995
1120.0	1873.0000000000005	1760.49127029906
1214.0	1349.0	1268.4575071270986
1237.0	1109.0000000000005	1127.383426341832
1268.0	1084.9999999999995	1096.1304464745585
1351.0	920.0000000000006	949.0577325230919
1405.0	801.9999999999997	863.94828741043
1510.0	615.0000000000005	594.4003330508478
1564.0	619.0000000000002	563.7122325202008
1669.0	477.0000000000003	480.8552115972983
1986.0	302.0000000000001	290.04278342216696
2147.0	254.00000000000006	196.5364280560563
2158.0	256.9999999999999	266.60835403241197
2161.0	229.99999999999991	201.8773675034067
2374.0	397.9999999999997	234.99277521885543
