#1000/T,ms,T,us,sigma
0.85198,0.71947,1173.73647268715,719.47,71.947
0.88663,1.36277,1127.86618995522,1362.77,136.277
0.89567,2.19283,1116.48263311264,2192.83,219.283
0.93484,3.27479,1069.70176714732,3274.79,327.479
