#1000/T,ms,T,us,sigma
1.22787,23.61308,814.418464495427,23613.08,2361.308
1.30621,19.35211,765.573682639086,19352.11,1935.211
1.38531,29.10021,721.860089077535,29100.21,2910.021
1.42072,24.90014,703.868461061997,24900.14,2490.014
1.48776,39.35744,672.15142227241,39357.44,3935.744
1.4968,37.91263,668.091929449492,37912.63,3791.263
