#1000/T,ms,T,us,sigma
0.81733,0.42512,1223.49601752046,425.12,42.512
0.83691,0.59994,1194.87161104539,599.94,59.994
0.8806,1.19485,1135.58937088349,1194.85,119.485
0.90923,1.99681,1099.83172574596,1996.81,199.681
0.93258,2.87146,1072.29406592464,2871.46,287.146
