#1000/T,ms,T,us,sigma
0.78133,0.10619,1279.8689414204,106.19,10.619
0.84841,0.27553,1178.67540458033,275.53,27.553
0.91471,0.64218,1093.24266707481,642.18,64.218
0.98723,1.55157,1012.93518227769,1551.57,155.157
1.05853,2.77608,944.706338034822,2776.08,277.608
1.10439,2.00118,905.477231775007,2001.18,200.118
1.14834,1.7497,870.822230349896,1749.7,174.97
1.19693,1.32617,835.470745991829,1326.17,132.617
1.34997,2.80516,740.757202011897,2805.16,280.516
