"time(s), volume(cm3)",
0,9.838245197
0.0004,9.902316547
0.0008,9.924078307
0.0012,9.89467416
0.0016,9.865246923
0.002,9.870207479
0.0024,9.894119484
0.0028,9.903297342
0.0032,9.889912844
0.0036,9.875336294
0.004,9.87741557
0.0044,9.889684698
0.0048,9.894054232
0.0052,9.885710402
0.0056,9.876960641
0.006,9.87900821
0.0064,9.887859966
0.0068,9.89121678
0.0072,9.884863906
0.0076,9.876895655
0.008,9.876180876
0.0084,9.881739854
0.0088,9.885808086
0.0092,9.88460348
0.0096,9.882032636
0.01,9.882813485
0.0104,9.885808086
0.0108,9.886068586
0.0112,9.882390508
0.0116,9.87900821
0.012,9.879723469
0.0124,9.882780948
0.0128,9.883203965
0.0132,9.879528387
0.0136,9.875661113
0.014,9.875888502
0.0144,9.879528387
0.0148,9.882065169
0.0152,9.880666497
0.0156,9.877123109
0.016,9.874524357
0.0164,9.873128189
0.0168,9.870304803
0.0172,9.864015797
0.0176,9.855214045
0.018,9.846140398
0.0184,9.837633536
0.0188,9.828886915
0.0192,9.819517455
0.0196,9.810328834
0.02,9.801670975
0.0204,9.792266731
0.0208,9.780152199
0.0212,9.765097949
0.0216,9.748994852
0.022,9.733550436
0.0224,9.718257159
0.0228,9.701462151
0.0232,9.682997884
0.0236,9.664523239
0.024,9.647668323
0.0244,9.631647916
0.0248,9.614042488
0.0252,9.593476586
0.0256,9.570809971
0.026,9.548058513
0.0264,9.525851362
0.0268,9.50311197
0.0272,9.478551978
0.0276,9.452000347
0.028,9.424108758
0.0284,9.395340092
0.0288,9.365686397
0.0292,9.335397139
0.0296,9.305025795
0.03,9.274744896
0.0304,9.243553473
0.0308,9.210151462
0.0312,9.174324586
0.0316,9.137360438
0.032,9.100823916
0.0324,9.064973194
0.0328,9.028740878
0.0332,8.991099185
0.0336,8.951938924
0.034,8.911899081
0.0344,8.871265569
0.0348,8.829738791
0.0352,8.787132466
0.0356,8.743831925
0.036,8.700399991
0.0364,8.656706284
0.0368,8.611754913
0.0372,8.564669388
0.0376,8.515678969
0.038,8.466070892
0.0384,8.416910145
0.0388,8.368125243
0.0392,8.318409689
0.0396,8.266315742
0.04,8.211539889
0.0404,8.155031227
0.0408,8.098259444
0.0412,8.042121221
0.0416,7.986409397
0.042,7.930035504
0.0424,7.872021226
0.0428,7.81200297
0.0432,7.750259424
0.0436,7.687075189
0.044,7.622580396
0.0444,7.556831774
0.0448,7.490212234
0.0452,7.423579559
0.0456,7.357643009
0.046,7.292511714
0.0464,7.22759581
0.0468,7.162170533
0.0472,7.095737089
0.0476,7.028226128
0.048,6.959839014
0.0484,6.890653792
0.0488,6.820597812
0.0492,6.749464391
0.0496,6.676996955
0.05,6.60306235
0.0504,6.52789943
0.0508,6.452023493
0.0512,6.376010417
0.0516,6.300166062
0.052,6.224401408
0.0524,6.148371493
0.0528,6.071733282
0.0532,5.994331013
0.0536,5.916136398
0.054,5.837249794
0.0544,5.757871987
0.0548,5.678218969
0.0552,5.59837524
0.0556,5.518223821
0.056,5.437589924
0.0564,5.356506005
0.0568,5.275177478
0.0572,5.193773467
0.0576,5.112196498
0.058,5.030178513
0.0584,4.947567274
0.0588,4.864488646
0.0592,4.781187565
0.0596,4.697810703
0.06,4.614396747
0.0604,4.531042315
0.0608,4.447854515
0.0612,4.364809556
0.0616,4.28162574
0.062,4.198032077
0.0624,4.114090671
0.0628,4.030242884
0.0632,3.946896985
0.0636,3.864095794
0.064,3.781553897
0.0644,3.699071056
0.0648,3.61667699
0.0652,3.534493262
0.0656,3.452581586
0.066,3.371077302
0.0664,3.290335751
0.0668,3.210745044
0.0672,3.132247897
0.0676,3.054217231
0.068,2.976095981
0.0684,2.898109911
0.0688,2.821112872
0.0692,2.745515349
0.0696,2.670698382
0.07,2.596245371
0.0704,2.524193693
0.0708,2.460113205
0.0712,2.411212804
0.0716,2.382558555
0.072,2.373992852
0.0724,2.379620021
0.0728,2.39046927
0.0732,2.39910943
0.0736,2.403050806
0.074,2.404276259
0.0744,2.405718626
0.0748,2.408361935
0.0752,2.411157086
0.0756,2.412923213
0.076,2.413773058
0.0764,2.414743972
0.0768,2.416355837
0.0772,2.418064885
0.0776,2.419007036
0.078,2.419146888
0.0784,2.419416313
0.0788,2.420718599
0.0792,2.42305622
0.0796,2.425587639
0.08,2.427474588
0.0804,2.428601331
0.0808,2.429440143
0.0812,2.430419688
0.0816,2.431545711
0.082,2.432540932
0.0824,2.433248207
0.0828,2.433794961
0.0832,2.434434901
0.0836,2.435351068
0.084,2.436568052
0.0844,2.438009349
0.0848,2.43954023
0.0852,2.440908383
0.0856,2.441872953
0.086,2.442343057
0.0864,2.442494863
0.0868,2.442700136
0.0872,2.443249083
0.0876,2.444189103
0.088,2.44537023
0.0884,2.446612023
0.0888,2.447849145
0.0892,2.4490441
0.0896,2.450129496
0.09,2.450961644
0.0904,2.451459862
0.0908,2.4516783
0.0912,2.451826588
0.0916,2.452143649
0.092,2.452782894
0.0924,2.453777104
0.0928,2.455049155
0.0932,2.45645876
0.0936,2.457827572
0.094,2.458982003
0.0944,2.459770721
0.0948,2.46013764
0.0952,2.460150501
0.0956,2.46000753
0.096,2.45997924
0.0964,2.460294777
0.0968,2.461052252
0.0972,2.462189436
0.0976,2.463522787
0.098,2.464830619
0.0984,2.46593936
0.0988,2.466751165
0.0992,2.467261693
0.0996,2.467529898
0.1,2.46769326
0.1004,2.467903277
0.1008,2.468287148
0.1012,2.468889135
0.1016,2.469655098
0.102,2.470487986
0.1024,2.471292732
0.1028,2.472036946
0.1032,2.472707324
0.1036,2.473304066
0.104,2.473795298
0.1044,2.474203358
0.1048,2.474595928
0.1052,2.475081371
0.1056,2.475720974
0.106,2.476492961
0.1064,2.477262871
0.1068,2.477886879
0.1072,2.478296443
0.1076,2.478563417
0.108,2.478841064
0.1084,2.47923658
0.1088,2.479772493
0.1092,2.480376798
0.1096,2.480978809
0.11,2.481564092
0.1104,2.482162808
0.1108,2.482789424
0.1112,2.483404685
0.1116,2.483920133
0.112,2.484317455
0.1124,2.484653088
0.1128,2.48503093
0.1132,2.485531445
0.1136,2.486149417
0.114,2.486832422
0.1144,2.487510466
0.1148,2.488174504
0.1152,2.488813748
0.1156,2.489416363
0.116,2.489932053
0.1164,2.490320938
0.1168,2.490605372
0.1172,2.490885995
0.1176,2.491256681
0.118,2.491761218
0.1184,2.492361526
0.1188,2.492938216
0.1192,2.493401079
0.1196,2.493732801
0.12,2.493980958
0.1204,2.494237133
0.1208,2.494583705
0.1212,2.495057942
0.1216,2.495643992
0.122,2.496300818
0.1224,2.496975382
0.1228,2.497602371
0.1232,2.498148463
0.1236,2.498596167
0.124,2.498964075
0.1244,2.499292104
0.1248,2.499620184
0.1252,2.500001769
0.1256,2.500460934
0.126,2.500985713
0.1264,2.501540093
0.1268,2.502085425
0.1272,2.502570843
0.1276,2.502958779
0.128,2.503247799
0.1284,2.50349409
0.1288,2.503773877
0.1292,2.504191691
0.1296,2.504787886
0.13,2.505509106
0.1304,2.506220053
0.1308,2.506787787
0.1312,2.507177179
0.1316,2.507455202
0.132,2.507733303
0.1324,2.508043719
0.1328,2.508356915
0.1332,2.508621785
0.1336,2.50888134
0.134,2.509236474
0.1344,2.509796307
0.1348,2.510513996
0.1352,2.511224054
0.1356,2.511749808
0.136,2.512047854
0.1364,2.512243442
0.1368,2.512510582
0.1372,2.512946485
0.1376,2.513491948
0.138,2.514014724
0.1384,2.514428246
0.1388,2.514736445
0.1392,2.515009589
0.1396,2.515328769
0.14,2.515703524
0.1404,2.516091941
0.1408,2.516449342
0.1412,2.516772989
0.1416,2.517102185
0.142,2.517499216
0.1424,2.517979067
0.1428,2.518489011
0.1432,2.518966565
0.1436,2.519354745
0.144,2.519662921
0.1444,2.519938623
0.1448,2.520233418
0.1452,2.52056494
0.1456,2.520910156
0.146,2.521258196
0.1464,2.521622669
0.1468,2.522028093
0.1472,2.522478596
0.1476,2.52294965
0.148,2.523382804
0.1484,2.523762955
0.1488,2.524102392
0.1492,2.524445955
0.1496,2.524821005
0.15,2.525230305
0.1504,2.52566972
0.1508,2.526110746
0.1512,2.526541012
0.1516,2.526946832
0.152,2.496987917
0.1524,2.497262944
0.1528,2.497557017
0.1532,2.497887738
0.1536,2.498232119
0.154,2.498579318
0.1544,2.49894291
0.1548,2.49934735
0.1552,2.499796758
0.1556,2.50026668
0.156,2.500698783
0.1564,2.501078016
0.1568,2.501416623
0.1572,2.501759358
0.1576,2.502133504
0.158,2.502541815
0.1584,2.50298018
0.1588,2.50342014
0.1592,2.503849366
0.1596,2.504254207
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
