"time(s), volume(cm3)",
0,9.840179543
0.0004,9.841857966
0.0008,9.843772777
0.0012,9.844715775
0.0016,9.84421478
0.002,9.84333082
0.0024,9.843684383
0.0028,9.845688464
0.0032,9.847781982
0.0036,9.848106424
0.004,9.846720349
0.0044,9.845482117
0.0048,9.84545264
0.0052,9.845305256
0.0056,9.842947828
0.006,9.8393553
0.0064,9.83894324
0.0068,9.844480005
0.0072,9.851234147
0.0076,9.847398584
0.008,9.824018686
0.0084,9.785601786
0.0088,9.750790618
0.0092,9.739653691
0.0096,9.759097983
0.01,9.797591002
0.0104,9.8337959
0.0108,9.851942635
0.0112,9.851617896
0.0116,9.843713847
0.012,9.839149266
0.0124,9.840974502
0.0128,9.845776901
0.0132,9.849404441
0.0136,9.85093898
0.014,9.851440778
0.0144,9.851499816
0.0148,9.850496266
0.0152,9.848460389
0.0156,9.846897269
0.016,9.847575533
0.0164,9.850378218
0.0168,9.85297606
0.0172,9.853035121
0.0176,9.85014213
0.018,9.846130669
0.0184,9.843095128
0.0188,9.84174016
0.0192,9.841357313
0.0196,9.840886166
0.02,9.839885152
0.0204,9.838737225
0.0208,9.838089815
0.0212,9.838354653
0.0216,9.83953191
0.022,9.841239521
0.0224,9.842653243
0.0228,9.843154051
0.0232,9.842623786
0.0236,9.841769611
0.024,9.841268969
0.0244,9.841092285
0.0248,9.840503396
0.0252,9.838648936
0.0256,9.835589398
0.026,9.832150087
0.0264,9.829212741
0.0268,9.826688272
0.0272,9.823725429
0.0276,9.819592689
0.028,9.814059456
0.0284,9.807598655
0.0288,9.800506209
0.0292,9.792494286
0.0296,9.783219689
0.03,9.772632948
0.0304,9.761321866
0.0308,9.750012652
0.0312,9.738877811
0.0316,9.727400245
0.032,9.714611558
0.0324,9.699840818
0.0328,9.683081056
0.0332,9.664892944
0.0336,9.646166643
0.034,9.62769307
0.0344,9.609692138
0.0348,9.591631348
0.0352,9.572656413
0.0356,9.552203903
0.036,9.530569728
0.0364,9.508561147
0.0368,9.486374221
0.0372,9.462884535
0.0376,9.436194154
0.038,9.40507014
0.0384,9.370325552
0.0388,9.334657608
0.0392,9.300905253
0.0396,9.270226503
0.04,9.241409669
0.0404,9.211944443
0.0408,9.179770806
0.0412,9.144238701
0.0416,9.106031596
0.042,9.066033717
0.0424,9.024882497
0.0428,8.982739425
0.0432,8.939808383
0.0436,8.896401727
0.044,8.852842084
0.0444,8.808938156
0.0448,8.763902168
0.0452,8.716741583
0.0456,8.667130476
0.046,8.615780873
0.0464,8.564074502
0.0468,8.513214006
0.0472,8.463199228
0.0476,8.412968895
0.048,8.361077658
0.0484,8.306779515
0.0488,8.250296815
0.0492,8.192403156
0.0496,8.133753451
0.05,8.074500097
0.0504,8.014533426
0.0508,7.953700187
0.0512,7.892019128
0.0516,7.829563536
0.052,7.766337136
0.0524,7.702115021
0.0528,7.636660989
0.0532,7.569970913
0.0536,7.502452883
0.054,7.434915972
0.0544,7.368045805
0.0548,7.301827884
0.0552,7.235373042
0.0556,7.167544041
0.056,7.097760008
0.0564,7.026346983
0.0568,6.954006142
0.0572,6.881114794
0.0576,6.80747322
0.058,6.732979889
0.0584,6.658035949
0.0588,6.583435568
0.0592,6.50957024
0.0596,6.436038146
0.06,6.361968676
0.0604,6.286896961
0.0608,6.210929248
0.0612,6.134377411
0.0616,6.05718492
0.062,5.978934919
0.0624,5.89941263
0.0628,5.8189127
0.0632,5.738077798
0.0636,5.657401939
0.064,5.576939816
0.0644,5.496541038
0.0648,5.41604245
0.0652,5.335360386
0.0656,5.254363935
0.066,5.172943866
0.0664,5.091138948
0.0668,5.009131943
0.0672,4.927081296
0.0676,4.844963531
0.068,4.762689616
0.0684,4.680294693
0.0688,4.597925415
0.0692,4.515561476
0.0696,4.432974845
0.07,4.349982163
0.0704,4.266742123
0.0708,4.183712808
0.0712,4.101246471
0.0716,4.019259788
0.072,3.937417105
0.0724,3.855547802
0.0728,3.773753431
0.0732,3.692218552
0.0736,3.610992262
0.074,3.530184637
0.0744,3.450174637
0.0748,3.371364866
0.0752,3.293662955
0.0756,3.216372377
0.076,3.138878614
0.0764,3.061411474
0.0768,2.98486031
0.0772,2.909646306
0.0776,2.835101616
0.078,2.760731073
0.0784,2.688600858
0.0788,2.624417562
0.0792,2.575565588
0.0796,2.547162037
0.08,2.538912567
0.0804,2.544671674
0.0808,2.555366259
0.0812,2.563686314
0.0816,2.567413656
0.082,2.56866238
0.0824,2.570275041
0.0828,2.573046957
0.0832,2.57582945
0.0836,2.577515077
0.084,2.578350222
0.0844,2.579377322
0.0848,2.580991891
0.0852,2.582491827
0.0856,2.582999147
0.086,2.582654827
0.0864,2.582557492
0.0868,2.583723876
0.0872,2.586089145
0.0876,2.588689093
0.088,2.590615787
0.0884,2.591737216
0.0888,2.59255627
0.0892,2.593488508
0.0896,2.59451715
0.09,2.595347448
0.0904,2.595821903
0.0908,2.59611702
0.0912,2.596553313
0.0916,2.597341063
0.092,2.598534341
0.0924,2.600036958
0.0928,2.601632394
0.0932,2.602983889
0.0936,2.603771974
0.094,2.603917887
0.0944,2.603680936
0.0948,2.603544466
0.0952,2.603870999
0.0956,2.604765527
0.096,2.606062948
0.0964,2.607557879
0.0968,2.609064097
0.0972,2.610452462
0.0976,2.611568925
0.098,2.612269771
0.0984,2.612540797
0.0988,2.612500344
0.0992,2.612380333
0.0996,2.612419433
0.1,2.612782202
0.1004,2.613533717
0.1008,2.614639597
0.1012,2.615984532
0.1016,2.617371627
0.102,2.618592273
0.1024,2.619472311
0.1028,2.619930875
0.1032,2.619958019
0.1036,2.619678515
0.104,2.619335299
0.1044,2.619211888
0.1048,2.619559116
0.1052,2.62044531
0.1056,2.621752037
0.106,2.623208556
0.1064,2.624551049
0.1068,2.625584165
0.1072,2.626227942
0.1076,2.626517229
0.108,2.626590887
0.1084,2.626629109
0.1088,2.62681336
0.1092,2.627222921
0.1096,2.627823865
0.11,2.628527663
0.1104,2.629281075
0.1108,2.630056872
0.1112,2.630831808
0.1116,2.631527812
0.112,2.632066485
0.1124,2.632438084
0.1128,2.632763219
0.1132,2.633246159
0.1136,2.63398884
0.114,2.634920342
0.1144,2.635840102
0.1148,2.636529431
0.1152,2.636927225
0.1156,2.637130993
0.116,2.637312751
0.1164,2.637599274
0.1168,2.63802903
0.1172,2.638551458
0.1176,2.639133347
0.118,2.639737613
0.1184,2.64033528
0.1188,2.640868288
0.1192,2.641262009
0.1196,2.641483117
0.12,2.641582686
0.1204,2.641687671
0.1208,2.641918542
0.1212,2.642366583
0.1216,2.64304727
0.122,2.643931772
0.1224,2.644941748
0.1228,2.645976184
0.1232,2.646896352
0.1236,2.647583669
0.124,2.647967106
0.1244,2.648092267
0.1248,2.648108957
0.1252,2.648182516
0.1256,2.648410484
0.126,2.648809496
0.1264,2.649325584
0.1268,2.64990163
0.1272,2.650483529
0.1276,2.651044797
0.128,2.651550701
0.1284,2.651981467
0.1288,2.652337011
0.1292,2.652664734
0.1296,2.653047017
0.13,2.653550982
0.1304,2.654173811
0.1308,2.654823544
0.1312,2.655382659
0.1316,2.655784014
