"time(s), volume(cm3)",
0,9.804773524
0.0004,9.804525336
0.0008,9.803979375
0.0012,9.803383864
0.0016,9.802490754
0.002,9.801449034
0.0024,9.801201044
0.0028,9.802689207
0.0032,9.805816073
0.0036,9.808845907
0.004,9.809740376
0.0044,9.80815034
0.0048,9.805468527
0.0052,9.803731234
0.0056,9.803383864
0.006,9.803086139
0.0064,9.801349836
0.0068,9.798127189
0.0072,9.79490703
0.0076,9.793372135
0.008,9.793718674
0.0084,9.79490703
0.0088,9.795947117
0.0092,9.796987465
0.0096,9.798920225
0.01,9.802143485
0.0104,9.806163648
0.0108,9.809640981
0.0112,9.811579608
0.0116,9.811877937
0.012,9.811181867
0.0124,9.810237385
0.0128,9.809392503
0.0132,9.808498109
0.0136,9.80730588
0.014,9.805915377
0.0144,9.805220299
0.0148,9.806064338
0.0152,9.808895593
0.0156,9.812773055
0.016,9.81590748
0.0164,9.816803462
0.0168,9.815210738
0.0172,9.812325473
0.0176,9.809889471
0.018,9.808895593
0.0184,9.809144041
0.0188,9.809790074
0.0192,9.810088276
0.0196,9.809988872
0.02,9.809541588
0.0204,9.80879622
0.0208,9.807405219
0.0212,9.805269944
0.0216,9.802887667
0.022,9.801250641
0.0224,9.801300238
0.0228,9.803334241
0.0232,9.806411932
0.0236,9.809243424
0.024,9.810585328
0.0244,9.810088276
0.0248,9.80815034
0.0252,9.805667121
0.0256,9.803532734
0.026,9.801994664
0.0264,9.800754699
0.0268,9.798672387
0.0272,9.794312809
0.0276,9.786793344
0.028,9.776525479
0.0284,9.765348494
0.0288,9.755476696
0.0292,9.748124926
0.0296,9.742399565
0.03,9.736193784
0.0304,9.727170446
0.0308,9.714182116
0.0312,9.697507951
0.0316,9.678396215
0.032,9.65851001
0.0324,9.639339412
0.0328,9.621919802
0.0332,9.606229463
0.0336,9.591023232
0.034,9.574276951
0.0344,9.554514629
0.0348,9.531594632
0.0352,9.506724987
0.0356,9.481639917
0.036,9.457348034
0.0364,9.433518987
0.0368,9.408658504
0.0372,9.381264961
0.0376,9.351036217
0.038,9.319051609
0.0384,9.287016334
0.0388,9.255845127
0.0392,9.224702884
0.0396,9.191884768
0.04,9.155955523
0.0404,9.117045679
0.0408,9.076408157
0.0412,9.035495704
0.0416,8.994972106
0.042,8.95491178
0.0424,8.915227112
0.0428,8.875991243
0.0432,8.836846017
0.0436,8.796909217
0.044,8.754841127
0.0444,8.709854771
0.0448,8.661951384
0.0452,8.612095205
0.0456,8.561387755
0.046,8.510161975
0.0464,8.457996744
0.0468,8.403908872
0.0472,8.3476932
0.0476,8.290404993
0.048,8.233862383
0.0484,8.179121989
0.0488,8.125128473
0.0492,8.069128226
0.0496,8.008886599
0.05,7.944858068
0.0504,7.879928295
0.0508,7.816866416
0.0512,7.755772782
0.0516,7.694261302
0.052,7.629760682
0.0524,7.561827326
0.0528,7.491900017
0.0532,7.421546337
0.0536,7.351118293
0.054,7.280124263
0.0544,7.208505913
0.0548,7.136710979
0.0552,7.064574154
0.0556,6.990958102
0.056,6.914512088
0.0564,6.835256782
0.0568,6.754629503
0.0572,6.674237774
0.0576,6.59457958
0.058,6.515087687
0.0584,6.435332902
0.0588,6.355515449
0.0592,6.275924627
0.0596,6.196089249
0.06,6.114953601
