#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
C4H7O              0   496.000     5.200     0.000     0.000     0.000
P-C4H9             0   352.000     5.240     0.000     0.000     0.000
C4H9CO             0   489.084     5.348     0.000     0.000     0.000
P-C4H9O2           0   496.000     5.200     0.000     0.000     0.000
C4H6O23            0   350.400     4.984     0.000     0.000     0.000
C2H5CHCO           0   464.200     5.009     0.000     0.000     0.000
S-C3H5CHO           0   464.200     5.009     0.000     0.000     0.000
C3H7CHO            0   464.200     5.009     0.000     0.000     0.000
MP2D2J             0   357.100     4.720     0.000     0.000     0.000
MP2D3J             0   468.500     5.230     0.000     0.000     0.000
MP2DMJ             0   357.100     4.720     0.000     0.000     0.000
MP2D               0   430.100     5.833     0.000     0.000     0.000
BAOJ               0   430.100     5.833     0.000     0.000     0.000
A2-C10H8           0   630.400     6.180     0.000     0.000     0.000
S-C5H5O            0   617.000     5.820     0.000     0.000     0.000
C5H4O              0   484.000     5.100     0.000     0.000     0.000
C5H6               0   400.000     5.200     0.000     0.000     0.000
CDCCJCDC           0   386.800     5.437     0.000     0.000     0.000
C9H8               0   630.400     6.180     0.000     0.000     0.000
T-C5H5O            0   484.000     5.100     0.000     0.000     0.000
C5H81-3            0   449.680     5.330     0.000     0.000     0.000
C5H9               0   396.800     5.458     0.000     0.000     0.000
C5H10              0   386.200     5.489     0.000     0.000     0.000
C5H11              0   440.735     5.041     0.000     0.000     0.000
C5H11O2-1           0   523.200     5.664     0.000     0.000     0.000
C5H11CO            0   534.323     5.625     0.000     0.000     0.000
N-C4H9CHO           0   476.000     5.778     0.000     0.000     0.000
MB2D               0   468.500     5.230     0.000     0.000     0.000
MB2J               0   468.500     5.230     0.000     0.000     0.000
MB2O               0   523.600     5.960     0.000     0.000     0.000
MBMJ               0   468.500     5.230     0.000     0.000     0.000
MB3J               0   468.500     5.230     0.000     0.000     0.000
MB3O               0   523.600     5.960     0.000     0.000     0.000
MB4J               0   468.500     5.230     0.000     0.000     0.000
MB-C5H10O2           0   468.000     2.050     0.000     0.000     0.000
C5H10OOH1-3           0   523.200     5.664     0.000     0.000     0.000
C5H10OOH1-3O2           0   523.200     5.664     0.000     0.000     0.000
NC5KET13           0   494.800     6.174     0.000     0.000     0.000
A1C2H5             0   546.200     6.000     0.000     0.000     0.000
A1O-C6H5O           0   410.000     5.920     0.000     0.000     0.000
P2-C12H10           0   676.500     6.310     0.000     0.000     0.000
A1C2H2             0   546.200     6.000     0.000     0.000     0.000
A1C2H3             0   546.200     6.000     0.000     0.000     0.000
OC6H4O             0   464.800     5.290     0.000     0.000     0.000
A1OH               0   410.000     5.920     0.000     0.000     0.000
C6H11              0   423.400     5.850     0.000     0.000     0.000
C6H13              0   510.730     5.780     0.000     0.000     0.000
N-C12H26           0   789.160     7.060     0.000     0.000     0.000
C6H13O-1           0   540.597     5.662     0.000     0.000     0.000
C6H13O2-1           0   588.653     5.943     0.000     0.000     0.000
C6H13CO            0   534.500     6.240     0.000     0.000     0.000
N-C5H11CHO           0   498.600     6.009     0.000     0.000     0.000
C6H12OOH1-3           0   588.653     5.943     0.000     0.000     0.000
C6H12OOH1-3O2           0   677.149     6.436     0.000     0.000     0.000
NC6KET13           0   467.000     6.548     0.000     0.000     0.000
A1CH2              0   495.300     5.680     0.000     0.000     0.000
A1CH2O             0   495.300     5.680     0.000     0.000     0.000
A1CHO              0   495.300     5.680     0.000     0.000     0.000
A1CH2OH            0   495.300     5.680     0.000     0.000     0.000
A1CH3*             0   495.300     5.680     0.000     0.000     0.000
OA1CH3             0   495.300     5.680     0.000     0.000     0.000
A1CH3              0   495.300     5.680     0.000     0.000     0.000
HOA1CH3            0   495.300     5.680     0.000     0.000     0.000
C7H13              0   457.800     6.173     0.000     0.000     0.000
C7H14              0   457.800     6.173     0.000     0.000     0.000
C8H17              0   612.840     6.270     0.000     0.000     0.000
C7H15              0   459.600     6.253     0.000     0.000     0.000
C7H15O             0   561.000     6.317     0.000     0.000     0.000
C7H15O2-1           0   561.000     6.317     0.000     0.000     0.000
C10H20-1           0   698.200     6.590     0.000     0.000     0.000
C7H15CO            0   534.500     6.240     0.000     0.000     0.000
N-C6H13CHO           0   534.500     6.240     0.000     0.000     0.000
C7H14OOH1-3           0   561.000     6.317     0.000     0.000     0.000
C7H14OOH1-3O2           0   600.600     7.229     0.000     0.000     0.000
NC7KET13           0   581.300     6.506     0.000     0.000     0.000
A1C2H*             0   535.600     5.720     0.000     0.000     0.000
A3-C14H10           0   772.000     6.960     0.000     0.000     0.000
A2--C10H7           0   630.400     6.180     0.000     0.000     0.000
A1C2H              0   535.600     5.720     0.000     0.000     0.000
A1C2H3*            0   546.200     6.000     0.000     0.000     0.000
A1C2H4             0   546.200     6.000     0.000     0.000     0.000
C8H9O2             0   546.200     6.000     0.000     0.000     0.000
A1CH3CH2           0   546.200     6.000     0.000     0.000     0.000
A1CH3CHO           0   546.200     6.000     0.000     0.000     0.000
A2CH3              0   693.100     6.470     0.000     0.000     0.000
A1CH3CH3           0   546.200     6.000     0.000     0.000     0.000
C8H15              0   608.980     6.110     0.000     0.000     0.000
C8H16-1            0   608.980     6.110     0.000     0.000     0.000
C8H17O2-1           0   612.840     6.270     0.000     0.000     0.000
C8H17CO            0   612.840     6.270     0.000     0.000     0.000
A1CHOCH2           0   546.200     6.000     0.000     0.000     0.000
A1CHOCHO           0   546.200     6.000     0.000     0.000     0.000
N-C7H15CHO           0   534.500     6.240     0.000     0.000     0.000
C8H8OOH            0   546.200     6.000     0.000     0.000     0.000
OC8H7OOH           0   546.200     6.000     0.000     0.000     0.000
C8OOH1-3           0   612.840     6.270     0.000     0.000     0.000
C8OOH1-3O2           0   612.840     6.270     0.000     0.000     0.000
C8KET1-3           0   612.840     6.270     0.000     0.000     0.000
C9H7               0   630.400     6.180     0.000     0.000     0.000
A2R5               0   693.100     6.470     0.000     0.000     0.000
C9H6O              0   630.400     6.180     0.000     0.000     0.000
C9H17              0   654.060     6.350     0.000     0.000     0.000
C9H18-1            0   654.060     6.350     0.000     0.000     0.000
C9H19              0   658.900     6.490     0.000     0.000     0.000
C9H19O2-1           0   658.900     6.490     0.000     0.000     0.000
N-C8H17CHO           0   612.840     6.270     0.000     0.000     0.000
C9OOH1-3           0   658.900     6.490     0.000     0.000     0.000
C9OOH1-3O2           0   658.900     6.490     0.000     0.000     0.000
C9KET1-3           0   658.900     6.490     0.000     0.000     0.000
A2*-C10H7           0   630.400     6.180     0.000     0.000     0.000
A2O-C10H7O           0   630.400     6.180     0.000     0.000     0.000
A2C2H2B            0   693.100     6.470     0.000     0.000     0.000
A2C2H2A            0   693.100     6.470     0.000     0.000     0.000
FLTN               0   834.900     7.240     0.000     0.000     0.000
A2OH               0   630.400     6.180     0.000     0.000     0.000
