"time(s), volume(cm3)",
0,9.857216828
0.0004,9.858186335
0.0008,9.858270651
0.0012,9.856668944
0.0016,9.853635805
0.002,9.850604857
0.0024,9.849258472
0.0028,9.850478616
0.0032,9.853635805
0.0036,9.857258975
0.004,9.859957319
0.0044,9.86151809
0.0048,9.862657396
0.0052,9.864092519
0.0056,9.865654827
0.006,9.86671077
0.0064,9.866668527
0.0068,9.865274752
0.0072,9.862784005
0.0076,9.85928257
0.008,9.855362741
0.0084,9.852035866
0.0088,9.850478616
0.0092,9.851320301
0.0096,9.853762143
0.01,9.855994724
0.0104,9.856626803
0.0108,9.855573391
0.0112,9.854141177
0.0116,9.853804256
0.012,9.854983597
0.0124,9.856584661
0.0128,9.856921805
0.0132,9.854941472
0.0136,9.851151951
0.014,9.847449946
0.0144,9.845768297
0.0148,9.846609037
0.0152,9.849090204
0.0156,9.851530748
0.016,9.85321471
0.0164,9.854478125
0.0168,9.856205406
0.0172,9.858439288
0.0176,9.860421271
0.018,9.861011831
0.0184,9.8601682
0.0188,9.85860793
0.0192,9.857090387
0.0196,9.85586832
0.02,9.854646608
0.0204,9.85321471
0.0208,9.851783299
0.0212,9.850689021
0.0216,9.850057836
0.022,9.850057836
0.0224,9.851109864
0.0228,9.853467362
0.0232,9.856626803
0.0236,9.859029568
0.024,9.858987402
0.0244,9.856036859
0.0248,9.85136239
0.0252,9.846903336
0.0256,9.844045306
0.026,9.843037053
0.0264,9.843121065
0.0268,9.843247086
0.0272,9.84240702
0.0276,9.839761908
0.028,9.834853984
0.0284,9.828067875
0.0288,9.820331736
0.0292,9.812609877
0.0296,9.805152009
0.03,9.797582776
0.0304,9.789446617
0.0308,9.78041582
0.0312,9.770000884
0.0316,9.757636035
0.032,9.742805593
0.0324,9.725740277
0.0328,9.70760627
0.0332,9.689794327
0.0336,9.673107157
0.034,9.656969223
0.0344,9.64033424
0.0348,9.622212786
0.0352,9.602188929
0.0356,9.580527559
0.036,9.557490559
0.0364,9.533141032
0.0368,9.507426111
0.0372,9.480296017
0.0376,9.452315362
