#1000/T,Tig,(us)
0.90944,167.34105,1099.57776213934
0.93892,286.10256,1065.05346568398
0.98098,436.26619,1019.38877449082
1.02562,637.30573,975.019987909752
1.05892,730.05241,944.358402901069
1.14387,604.02637,874.225217900636
1.21174,689.46038,825.259544126628
1.28124,854.43104,780.493896537729
1.37927,2195.91187,725.021206870301
