"time(s), volume(cm3)",
0,9.870875761
0.0004,9.870430836
0.0008,9.869355794
0.0012,9.868948091
0.0016,9.869800606
0.002,9.871543236
0.0024,9.873249485
0.0028,9.874251299
0.0032,9.874511068
0.0036,9.874214191
0.004,9.873360785
0.0044,9.871691578
0.0048,9.86917047
0.0052,9.866391577
0.0056,9.864169777
0.006,9.863170349
0.0064,9.863318398
0.0068,9.863947663
0.0072,9.8640217
0.0076,9.863059316
0.008,9.861579155
0.0084,9.860802276
0.0088,9.861875144
0.0092,9.86502133
0.0096,9.869059278
0.01,9.872062456
0.0104,9.872507552
0.0108,9.870208391
0.0112,9.866354538
0.0116,9.862578207
0.012,9.859988558
0.0124,9.858694329
0.0128,9.858361591
0.0132,9.8584725
0.0136,9.858583414
0.014,9.858583414
0.0144,9.858398561
0.0148,9.858324622
0.0152,9.858768274
0.0156,9.86009951
0.016,9.862282167
0.0164,9.864947275
0.0168,9.867391768
0.0172,9.868948091
0.0176,9.869207534
0.018,9.868169858
0.0184,9.86628046
0.0188,9.864280841
0.0192,9.86280025
0.0196,9.86206015
0.02,9.861838145
0.0204,9.861764146
0.0208,9.861727147
0.0212,9.861912146
0.0216,9.862615214
0.022,9.863762575
0.0224,9.864614045
0.0228,9.864391905
0.0232,9.862763242
0.0236,9.860321424
0.024,9.857844052
0.0244,9.855515907
0.0248,9.852672138
0.0252,9.848059706
0.0256,9.840947999
0.026,9.831643532
0.0264,9.821443292
0.0268,9.811523631
0.0272,9.802247439
0.0276,9.79346491
0.028,9.784737051
0.0284,9.775954815
0.0288,9.766829204
0.0292,9.756640742
0.0296,9.744569608
0.03,9.730237722
0.0304,9.714275708
0.0308,9.697912077
0.0312,9.682108819
0.0316,9.666965839
0.032,9.652265078
0.0324,9.637616364
0.0328,9.622739866
0.0332,9.606872502
0.0336,9.58870895
0.034,9.567245611
0.0344,9.542808759
0.0348,9.517290847
0.0352,9.493048449
0.0356,9.471103857
0.036,9.450482975
0.0364,9.428900042
0.0368,9.404284168
0.0372,9.375803561
0.0376,9.344030674
0.038,9.310177639
0.0384,9.275614705
0.0388,9.241540127
0.0392,9.208859382
0.0396,9.17776059
0.04,9.14749528
0.0404,9.116660399
0.0408,9.083591473
0.0412,9.047439895
