"time(s), volume(cm3)",
0,9.645371654
0.0004,9.63983642
0.0008,9.633761685
0.0012,9.629989996
0.0016,9.630481762
0.002,9.634527375
0.0024,9.639398302
0.0028,9.642575708
0.0032,9.643562295
0.0036,9.643562295
0.004,9.644110504
0.0044,9.645810406
0.0048,9.647785359
0.0052,9.648718307
0.0056,9.647730489
0.006,9.644932949
0.0064,9.640877136
0.0068,9.636661122
0.0072,9.632941459
0.0076,9.630372474
0.008,9.629334405
0.0084,9.629880725
0.0088,9.631793418
0.0092,9.634035131
0.0096,9.63584032
0.01,9.637263146
0.0104,9.639069746
0.0108,9.6422469
0.0112,9.646139498
0.0116,9.648498771
0.012,9.647072074
0.0124,9.641479775
0.0128,9.634363287
0.0132,9.629662188
0.0136,9.630099274
0.014,9.634910277
0.0144,9.640493684
0.0148,9.642849738
0.0152,9.640548462
0.0156,9.635129089
0.016,9.629935359
0.0164,9.627040642
0.0168,9.626112578
0.0172,9.624966434
0.0176,9.622020664
0.018,9.617987287
0.0184,9.615754271
0.0188,9.617551481
0.0192,9.623165991
0.0196,9.629826089
0.02,9.634089823
0.0204,9.634636773
0.0208,9.632668089
0.0212,9.630645696
0.0216,9.630317835
0.022,9.631738756
0.0224,9.633925749
0.0228,9.635895036
0.0232,9.637536824
0.0236,9.639234021
0.024,9.641424988
0.0244,9.643617114
0.0248,9.644549122
0.0252,9.643014163
0.0256,9.639234021
0.026,9.635238503
0.0264,9.633761685
0.0268,9.635621467
0.0272,9.638631709
0.0276,9.639069746
0.028,9.635183795
0.0284,9.628788153
0.0288,9.624147953
0.0292,9.624147953
0.0296,9.628241977
0.03,9.633433577
0.0304,9.637317881
0.0308,9.639781656
0.0312,9.642082501
0.0316,9.644439461
0.032,9.645645866
0.0324,9.644220152
0.0328,9.640329359
0.0332,9.635621467
0.0336,9.631848081
0.034,9.629389031
0.0344,9.62725904
0.0348,9.624038836
0.0352,9.618913525
0.0356,9.611781412
0.036,9.603032868
0.0364,9.59305724
0.0368,9.582241541
0.0372,9.570646331
0.0376,9.55860049
0.038,9.546375791
0.0384,9.534134116
0.0388,9.521290416
0.0392,9.506259797
0.0396,9.487588708
0.04,9.465065002
0.0404,9.440734981
0.0408,9.417328164
0.0412,9.396480547
0.0416,9.377075068
0.042,9.356127771
0.0424,9.330819751
0.0428,9.300579241
0.0432,9.2670177
0.0436,9.232944473
0.044,9.200684369
0.0444,9.170635398
0.0448,9.141443012
0.0452,9.110641345
0.0456,9.076413704
0.046,9.038664312
0.0464,8.998385259
0.0468,8.956167868
0.0472,8.911488958
0.0476,8.863585569
0.048,8.813120611
0.0484,8.762179078
0.0488,8.712566457
0.0492,8.663858776
0.0496,8.614009513
0.05,8.561372536
0.0504,8.506283767
0.0508,8.449956438
0.0512,8.392504856
0.0516,8.332557755
0.052,8.269262858
0.0524,8.203648809
0.0528,8.137754267
0.0532,8.072206134
0.0536,8.005559519
0.054,7.936028965
0.0544,7.863686833
0.0548,7.790019334
0.0552,7.71636594
0.0556,7.642296251
0.056,7.566796451
0.0564,7.489559523
0.0568,7.411270257
0.0572,7.33195014
0.0576,7.25063889
0.058,7.166458728
0.0584,7.079957445
0.0588,6.992584223
0.0592,6.904963816
0.0596,6.816139674
0.06,6.725017799
0.0604,6.631898699
0.0608,6.53807574
0.0612,6.444096859
0.0616,6.349099248
0.062,6.252189238
0.0624,6.153975678
0.0628,6.056036934
0.0632,5.959008844
0.0636,5.861557838
0.064,5.761921937
0.0644,5.659977487
0.0648,5.557078656
0.0652,5.454256547
0.0656,5.350969607
0.066,5.246064439
0.0664,5.139460427
0.0668,5.032241967
0.0672,4.925078588
0.0676,4.817436534
0.068,4.708425845
0.0684,4.598178029
0.0688,4.487513807
0.0692,4.376605606
0.0696,4.264559271
0.07,4.150817722
0.0704,4.036374163
0.0708,3.922864256
0.0712,3.810476053
0.0716,3.697590367
0.072,3.582755663
0.0724,3.466634443
0.0728,3.351261869
0.0732,3.237493173
0.0736,3.12407089
0.074,3.009465223
0.0744,2.894095569
0.0748,2.779750914
0.0752,2.666958444
0.0756,2.554008594
0.076,2.439282903
0.0764,2.323957181
0.0768,2.211035515
0.0772,2.101393226
0.0776,1.991975138
0.078,1.879628028
0.0784,1.76737867
0.0788,1.666003517
0.0792,1.588457276
0.0796,1.542846277
0.08,1.528934322
0.0804,1.538191922
0.0808,1.55684539
0.0812,1.572132528
0.0816,1.578767399
0.082,1.579690567
0.0824,1.580476678
0.0828,1.583724023
0.0832,1.588206793
0.0836,1.591707486
0.084,1.593745339
0.0844,1.595516598
0.0848,1.597945768
0.0852,1.600556487
0.0856,1.602285034
0.086,1.602968816
0.0864,1.603626627
0.0868,1.605299302
0.0872,1.607949768
0.0876,1.610644762
0.088,1.612620992
0.0884,1.61399164
0.0888,1.615383773
0.0892,1.617131276
0.0896,1.618959041
0.09,1.620426025
0.0904,1.62142806
0.0908,1.622258315
0.0912,1.623248244
0.0916,1.624487969
0.092,1.625916463
0.0924,1.62749722
0.0928,1.629212822
0.0932,1.630916749
0.0936,1.632320726
0.094,1.633233526
0.0944,1.633768051
0.0948,1.634271484
0.0952,1.635047658
0.0956,1.636151251
0.096,1.637452604
0.0964,1.638800942
0.0968,1.640171291
0.0972,1.641555397
0.0976,1.642903625
0.098,1.644078884
0.0984,1.644990178
0.0988,1.645658168
0.0992,1.646207291
0.0996,1.646809495
0.1,1.647598768
0.1004,1.648642664
0.1008,1.649910086
0.1012,1.65126965
0.1016,1.652569972
0.102,1.653707195
0.1024,1.654672956
0.1028,1.655499094
0.1032,1.656209857
0.1036,1.656805764
0.104,1.657305754
0.1044,1.657808941
0.1048,1.658445449
0.1052,1.659312007
0.1056,1.660379903
0.106,1.661545252
0.1064,1.662679673
0.1068,1.663682937
0.1072,1.664502573
0.1076,1.665145566
0.108,1.665675231
0.1084,1.666196563
0.1088,1.666808245
0.1092,1.667562484
0.1096,1.668431733
0.11,1.669356348
0.1104,1.670292781
0.1108,1.67121479
0.1112,1.67209308
0.1116,1.672886704
0.112,1.673565127
0.1124,1.674141723
0.1128,1.674679635
0.1132,1.67525981
0.1136,1.675936425
0.114,1.676728166
0.1144,1.677595347
0.1148,1.678472142
0.1152,1.679277336
0.1156,1.679980926
0.116,1.680590975
0.1164,1.681159088
0.1168,1.681721463
0.1172,1.682274605
0.1176,1.682829135
0.118,1.683417465
0.1184,1.684068887
0.1188,1.684791738
0.1192,1.685501629
0.1196,1.68611385
0.12,1.653354853
0.1204,1.653643502
0.1208,1.653877293
0.1212,1.654192776
0.1216,1.654667342
0.122,1.655323865
0.1224,1.656079287
0.1228,1.656858274
0.1232,1.657589321
0.1236,1.65823892
0.124,1.658803992
0.1244,1.659286143
0.1248,1.659675751
0.1252,1.659968838
0.1256,1.660200654
0.126,1.660445013
0.1264,1.66080258
0.1268,1.661334987
0.1272,1.662014724
0.1276,1.662717205
0.128,1.663308605
0.1284,1.663715701
0.1288,1.66398722
0.1292,1.664233763
0.1296,1.664541163
