"Time  (sec)","Volume  (cm3)","Temperature  (K)","Pressure  (bar)","Mole_fraction_AR  ()","Mole_fraction_HE  ()","Mole_fraction_N2  ()","Mole_fraction_H2  ()","Mole_fraction_H  ()","Mole_fraction_O  ()","Mole_fraction_O2  ()","Mole_fraction_OH  ()","Mole_fraction_H2O  ()","Mole_fraction_HO2  ()","Mole_fraction_H2O2  ()","Mole_fraction_CO  ()","Mole_fraction_CO2  ()","Mole_fraction_C  ()","Mole_fraction_CH  ()","Mole_fraction_CH2  ()","Mole_fraction_CH2(S)  ()","Mole_fraction_CH3  ()","Mole_fraction_CH4  ()","Mole_fraction_HCO  ()","Mole_fraction_CH2O  ()","Mole_fraction_CH2OH  ()","Mole_fraction_CH3O  ()","Mole_fraction_CH3OH  ()","Mole_fraction_C2H  ()","Mole_fraction_C2H2  ()","Mole_fraction_C2H3  ()","Mole_fraction_C2H4  ()","Mole_fraction_C2H5  ()","Mole_fraction_C2H6  ()","Mole_fraction_HCCO  ()","Mole_fraction_CH2CO  ()","Mole_fraction_CH2CHO  ()","Mole_fraction_CH3CHO  ()","Mole_fraction_CH3CO  ()","Mole_fraction_H2CC  ()","Mole_fraction_OH*  ()","Mole_fraction_CH*  ()","Specific_heat_Cp  (erg/g-K)","Heat_capacity_ratio  ()","Entropy  (erg/g-K)","Ppmvd15%O2_CO  (ppm)"
0.0006356787,1,2025.849,1.164773,0.9325006,9.97757E-23,0,7.240704E-05,0.00232391,0.009379014,0.02191555,0.0005433879,0.0001970969,6.14321E-07,2.975756E-09,0.01747748,0.0155899,1.774803E-16,5.322893E-17,1.578485E-18,2.008369E-19,1.517815E-17,2.012063E-19,1.775903E-08,3.568645E-12,4.603116E-17,4.49627E-18,3.877972E-20,1.914431E-24,7.345736E-23,3.493045E-26,-1.764806E-27,2.132163E-30,-1.932105E-30,6.476209E-20,7.106213E-20,-3.849695E-25,-9.089275E-24,-1.059384E-24,1.832258E-24,9.538906E-11,1.429633E-24,6346774,1.500136,52606120,5576.643
0.0008,1,2048.368,1.176853,0.9331875,1.02537E-22,0,7.567188E-05,0.002277449,0.009035838,0.02155964,0.0005630021,0.0002085222,5.92135E-07,2.923778E-09,0.01642661,0.01666513,2.405788E-16,5.820693E-17,1.581225E-18,1.869014E-19,1.328584E-17,-5.080607E-21,1.637562E-08,3.195997E-12,3.962923E-17,3.814091E-18,2.813393E-20,2.910709E-24,6.697646E-23,1.331684E-25,-3.049055E-25,-4.476198E-29,-1.100629E-30,6.796116E-20,5.801545E-20,-2.219288E-24,-6.486695E-23,-2.87479E-24,1.976607E-24,9.030505E-11,1.879144E-24,6350783,1.499111,52621650,5231.5
0.0012,1,2094.93,1.201726,0.9346462,1.129885E-22,0,8.719054E-05,0.002068509,0.007800362,0.02135512,0.00062588,0.0002727166,5.596887E-07,3.05788E-09,0.01485205,0.01829142,4.1404E-16,6.811208E-17,1.7322E-18,1.720286E-19,1.017114E-17,1.545984E-19,1.374923E-08,2.642334E-12,2.905986E-17,2.588631E-18,2.739519E-20,5.295364E-24,9.121473E-23,5.448553E-27,2.336447E-27,2.545767E-31,5.650698E-34,8.125996E-20,5.115862E-20,2.510269E-25,2.694657E-25,1.210735E-24,2.10729E-24,7.072185E-11,3.167349E-24,6357641,1.49714,52651740,4725.246
0.0016,1,2132.062,1.221488,0.9358234,1.032188E-22,0,9.680847E-05,0.001854579,0.006747746,0.02126769,0.0006777622,0.0003462885,5.312218E-07,3.14572E-09,0.01370392,0.01948129,6.068184E-16,7.341516E-17,1.890936E-18,1.663919E-19,8.027567E-18,1.170505E-19,1.162587E-08,2.279456E-12,2.211127E-17,1.870674E-18,2.212991E-20,8.465471E-24,1.132876E-22,2.667853E-26,7.676905E-26,8.710057E-30,1.708501E-32,9.290363E-20,4.588364E-20,4.82501E-25,8.198811E-24,8.957734E-25,2.109762E-24,5.484463E-11,4.515519E-24,6362792,1.495603,52673560,4358.301
0.002,1,2162.226,1.237499,0.9367842,1.81353E-22,0,0.0001035306,0.001665305,0.005930338,0.02116433,0.0007153447,0.0004171819,5.0369E-07,3.145974E-09,0.01275064,0.02046865,8.039588E-16,7.488089E-17,2.018617E-18,1.645368E-19,6.457736E-18,9.163413E-20,9.887016E-09,2.011827E-12,1.727892E-17,1.404833E-18,1.84454E-20,1.124285E-23,1.305513E-22,6.039569E-27,3.694086E-27,2.209951E-31,3.74982E-34,1.01195E-19,4.121994E-20,1.511501E-25,3.129306E-25,6.51362E-25,1.985915E-24,4.340023E-11,5.740603E-24,6366978,1.494357,52689780,4053.224
0.0024,1,2187.165,1.250708,0.9375811,1.409445E-22,0,0.000107866,0.001501777,0.005286467,0.02105023,0.0007416223,0.000482941,4.777332E-07,3.091409E-09,0.01193939,0.02130815,9.930307E-16,7.372514E-17,2.106654E-18,1.63788E-19,5.283669E-18,7.367335E-20,8.470543E-09,1.804502E-12,1.380675E-17,1.087874E-18,1.568599E-20,1.413919E-23,1.435381E-22,1.176657E-26,3.307422E-27,2.212709E-31,3.639165E-34,1.065258E-19,3.710974E-20,1.78645E-25,2.644128E-25,4.997633E-25,1.812109E-24,3.507881E-11,6.7497E-24,6370462,1.493327,52702160,3793.327
0.0028,1,2208.108,1.261781,0.9382518,1.824672E-22,0,0.0001103944,0.001361328,0.004768904,0.02093334,0.0007594359,0.0005429682,4.536853E-07,3.004971E-09,0.0112396,0.02203174,1.166319E-15,7.096064E-17,2.156731E-18,1.628899E-19,4.392561E-18,6.062661E-20,7.315748E-09,1.637848E-12,1.123996E-17,8.634345E-19,1.353122E-20,1.668446E-23,1.524534E-22,4.258655E-27,5.076307E-28,8.163187E-33,1.944263E-35,1.095197E-19,3.354829E-20,8.767181E-26,2.60759E-26,3.874175E-25,1.616302E-24,2.89141E-11,7.517477E-24,6373413,1.49246,52711820,3569.021
0.0032,1,2225.937,1.271194,0.9388239,1.812945E-22,0,0.0001116006,0.001240685,0.004345135,0.02081826,0.0007710009,0.0005973578,4.316085E-07,2.903146E-09,0.01062921,0.02266241,1.320013E-15,6.731553E-17,2.174204E-18,1.613223E-19,3.704932E-18,5.089124E-20,6.369767E-09,1.49995E-12,9.295596E-18,6.992491E-19,1.17989E-20,1.879657E-23,1.579974E-22,3.766588E-27,3.545637E-28,5.576178E-33,1.293474E-35,1.107418E-19,3.04744E-20,6.973394E-26,1.744735E-26,3.081901E-25,1.427206E-24,2.426105E-11,8.057435E-24,6375946,1.49172,52719490,3373.347
0.0036,1,2241.298,1.279294,0.9393174,1.791667E-22,0,0.0001118582,0.001136726,0.003992518,0.02070743,0.0007779715,0.0006465067,4.114267E-07,2.795281E-09,0.01009171,0.02321742,1.452968E-15,6.327461E-17,2.165599E-18,1.589636E-19,3.165886E-18,4.34519E-20,5.589544E-09,1.383276E-12,7.791853E-18,5.75856E-19,1.037727E-20,2.046298E-23,1.60883E-22,3.296057E-27,2.40683E-28,2.353179E-33,7.619623E-36,1.106561E-19,2.782096E-20,5.621115E-26,1.003833E-26,2.49479E-25,1.253158E-24,2.068714E-11,8.400805E-24,6378147,1.491082,52725710,3201.06
0.004,1,2254.67,1.286338,0.9397476,1.790115E-22,0,0.0001114445,0.001046721,0.003694946,0.02060202,0.0007815643,0.000690922,3.930035E-07,2.68707E-09,0.009614465,0.02370991,1.565668E-15,5.914356E-17,2.1372E-18,1.558809E-19,2.737064E-18,3.76468E-20,4.941058E-09,1.282863E-12,6.608108E-18,4.810194E-19,9.192835E-21,2.172307E-23,1.616909E-22,2.893414E-27,2.111136E-28,3.660225E-33,1.073752E-35,1.096254E-19,2.552423E-20,4.605258E-26,9.678102E-27,2.051138E-25,1.098164E-24,1.789783E-11,8.583908E-24,6380079,1.490525,52730800,3048.133
0.0044,1,2266.42,1.292521,0.9401259,1.787989E-22,0,0.0001105622,0.0009683743,0.003440726,0.02050249,0.0007826704,0.0007311243,3.761824E-07,2.581741E-09,0.009187654,0.02415014,1.659502E-15,5.51056E-17,2.094437E-18,1.522136E-19,2.391268E-18,3.303252E-20,4.39777E-09,1.195296E-12,5.661939E-18,4.067401E-19,8.194467E-21,2.260317E-23,1.609659E-22,2.546278E-27,1.627401E-28,2.864867E-33,6.289465E-36,1.079266E-19,2.352833E-20,3.821529E-26,7.365226E-27,1.709828E-25,9.627272E-25,1.568906E-11,8.641469E-24,6381791,1.490035,52735030,2911.417
0.0048,1,2276.827,1.297993,0.9404612,1.790443E-22,0,0.0001093579,0.0008997915,0.003221192,0.02040888,0.0007819444,0.0007676034,3.608065E-07,2.481026E-09,0.008803503,0.02454618,1.736284E-15,5.126373E-17,2.041732E-18,1.481165E-19,2.108919E-18,2.930438E-20,3.939038E-09,1.118138E-12,4.895543E-18,3.476144E-19,7.345039E-21,2.317511E-23,1.590256E-22,2.248764E-27,1.607994E-28,2.810504E-33,5.644158E-36,1.057675E-19,2.178581E-20,3.211117E-26,6.78773E-27,1.443022E-25,8.455809E-25,1.39169E-11,8.603709E-24,6383318,1.489601,52738590,2788.42
