#1000/T,Tig,T,us,sigma
0.87945,0.09162,1137.07430780602,91.62,9.162
0.94294,0.25969,1060.51286402104,259.69,25.969
1.02068,0.56111,979.738997531058,561.11,56.111
1.06109,0.58622,942.427126822418,586.22,58.622
1.09104,0.56605,916.556679865083,566.05,56.605
1.15088,0.40231,868.900319755318,402.31,40.231
1.23107,0.48777,812.301493822447,487.77,48.777
