#1000/T,ms,T,us,sigma
1.22712,5.77743,814.916226611904,5777.43,577.743
1.30546,3.87573,766.01351247836,3875.73,387.573
1.38531,5.86467,721.860089077535,5864.67,586.467
1.41996,9.09278,704.245190005352,9092.78,909.278
1.48776,18.11633,672.15142227241,18116.33,1811.633
1.49906,23.8623,667.084706416021,23862.3,2386.23
