T(k)	f_exp	Value
832.82	57700.000000000044	44907.75743474472
845.45	37400.00000000004	35472.48195465417
858.77	21600.000000000004	28760.174815444712
869.05	12599.999999999985	22666.345129367735
881.23	10000.000000000002	18766.139774319694
895.8	5699.9999999999945	15676.648357005131
908.54	4400.0	12519.641394588169
